"","id","strand","symbol.x","chr.x","as_site1","as_site2","as_site3","as_site4","as_pvalue","fdr","IncLevel1","IncLevel2","as_type","chr.y","symbol.y","FPKM.SRR8474208","FPKM.SRR8474209","FPKM.SRR8474210","FPKM.SRR8474211","FPKM.SRR8474212","FPKM.SRR8474213","FPKM.SRR8474214","FPKM.SRR8474215","..files.testis_1.txt_mean_female","..files.testis_2.txt_mean_male","Remark","Organism","Tissue","GEO_accession"
"12","ENSMFAG00000000165","-","CEP120","chr6",122317017,122317167,122319186,122319361,2.11083480695e-08,3.19045234154e-07,"0.982,0.993,0.692,0.678","0.663,0.665,0.708,0.693","MXE","6","CEP120",31.395934480099,28.302580105795,23.2138640783667,20.9836581781811,24.4028597519076,26.9183919185399,30.4473267677872,26.2636841639513,25.9740092106105,27.0080656505465,NA,"Macaca_fascicularis","testis","GSE125483"
"13","ENSMFAG00000000167","+","PPFIA4","chr1",61518876,61518903,NA,NA,0.000726565858002,0.0219015534167,"0.085,0.225,0.043,0.0","0.046,0.0,0.097,0.0","SE","1","PPFIA4",5.28173025185616,5.12840568103072,5.24313983723977,5.87231477565876,5.25397304949774,5.54394115082254,5.41180352817004,5.09665797685253,5.38139763644635,5.32659392633571,NA,"Macaca_fascicularis","testis","GSE125483"
"14","ENSMFAG00000000178","-","SIRT5","chr4",157213118,157213242,NA,NA,0.00057162900623,0.0184990755659,"0.955,0.955,0.948,1.0","1.0,0.971,0.965,1.0","SE","4","SIRT5",11.8326163273302,12.4088896682464,14.7223877371248,13.7457498078989,15.7565967987362,14.8761697225908,14.2881238041074,13.9369788483412,13.1774108851501,14.7144672934439,NA,"Macaca_fascicularis","testis","GSE125483"
"15","ENSMFAG00000000178","-","SIRT5","chr4",157220169,157220395,NA,NA,4.25774133617e-07,9.22440709186e-05,"0.939,0.949,1.0,0.981","0.991,0.991,1.0,1.0","SE","4","SIRT5",11.8326163273302,12.4088896682464,14.7223877371248,13.7457498078989,15.7565967987362,14.8761697225908,14.2881238041074,13.9369788483412,13.1774108851501,14.7144672934439,NA,"Macaca_fascicularis","testis","GSE125483"
"16","ENSMFAG00000000179","-","KIFC3","chr20",45821428,45821567,NA,NA,2.1137032955e-06,0.000306800894179,"0.018,0.03,0.403,0.277","0.575,0.504,0.554,0.355","SE","20","KIFC3",13.2065560513904,13.8589395192203,14.7902316896129,15.5420395312159,15.0708285996456,13.9396762070611,14.3412923428299,13.6424059107143,14.3494416978599,14.2485507650627,NA,"Macaca_fascicularis","testis","GSE125483"
"17","ENSMFAG00000000179","-","KIFC3","chr20",45818344,45818547,NA,NA,6.96770037776e-05,0.00388389686456,"0.329,0.281,0.582,0.437","0.764,0.724,0.683,0.588","SE","20","KIFC3",13.2065560513904,13.8589395192203,14.7902316896129,15.5420395312159,15.0708285996456,13.9396762070611,14.3412923428299,13.6424059107143,14.3494416978599,14.2485507650627,NA,"Macaca_fascicularis","testis","GSE125483"
"18","ENSMFAG00000000179","-","KIFC3","chr20",45827816,45827959,NA,NA,1.91962523152e-05,0.00147888654514,"0.739,0.732,0.823,0.739","0.931,0.901,0.884,0.828","SE","20","KIFC3",13.2065560513904,13.8589395192203,14.7902316896129,15.5420395312159,15.0708285996456,13.9396762070611,14.3412923428299,13.6424059107143,14.3494416978599,14.2485507650627,NA,"Macaca_fascicularis","testis","GSE125483"
"19","ENSMFAG00000000179","-","KIFC3","chr20",45804326,45804392,45818344,45818547,0.0043531481269,0.0218912518731,"0.058,0.075,0.167,0.15","0.123,0.155,0.135,0.138","MXE","20","KIFC3",13.2065560513904,13.8589395192203,14.7902316896129,15.5420395312159,15.0708285996456,13.9396762070611,14.3412923428299,13.6424059107143,14.3494416978599,14.2485507650627,NA,"Macaca_fascicularis","testis","GSE125483"
"20","ENSMFAG00000000179","-","KIFC3","chr20",45821428,45821567,45827816,45827959,3.23101985137e-05,0.000276925657204,"0.994,0.989,0.873,0.881","0.909,0.9,0.86,0.898","MXE","20","KIFC3",13.2065560513904,13.8589395192203,14.7902316896129,15.5420395312159,15.0708285996456,13.9396762070611,14.3412923428299,13.6424059107143,14.3494416978599,14.2485507650627,NA,"Macaca_fascicularis","testis","GSE125483"
"21","ENSMFAG00000000196","+",NA,"chr13",13184167,13184359,NA,NA,0.000179303851174,0.00767376044578,"0.015,0.006,0.104,0.119","0.188,0.083,0.153,0.083","SE","13","ENSMFAG00000000196",0.30806873872761,0.905822712609194,0.691218434748081,0.606413644754257,0.912888742786553,0.850098921027089,0.561846726550781,0.789144260125298,0.627880882709785,0.77849466262243,NA,"Macaca_fascicularis","testis","GSE125483"
"22","ENSMFAG00000000197","-","NECAP2","chr1",211959553,211959731,211963503,211963608,1.44516301481e-07,1.86251612685e-06,"0.982,0.994,0.57,0.535","0.529,0.511,0.561,0.605","MXE","1","NECAP2",26.4435152527778,26.6565429657407,28.4513059013889,28.4792106986111,29.2085690328704,27.0979353009259,25.8988450263889,27.6680691152778,27.5076437046296,27.4683546188657,NA,"Macaca_fascicularis","testis","GSE125483"
"23","ENSMFAG00000000197","-","NECAP2","chr1",211959553,211959731,211962276,211962385,0.000914144614602,0.00572160489941,"0.101,0.082,0.236,0.241","0.217,0.25,0.209,0.251","MXE","1","NECAP2",26.4435152527778,26.6565429657407,28.4513059013889,28.4792106986111,29.2085690328704,27.0979353009259,25.8988450263889,27.6680691152778,27.5076437046296,27.4683546188657,NA,"Macaca_fascicularis","testis","GSE125483"
"24","ENSMFAG00000000200","+","SIGLECL1","chr19",52019811,52020024,52021701,52021807,1.22211279064e-05,0.000113280871161,"0.053,0.055,0.235,0.24","0.22,0.205,0.225,0.206","MXE","19","SIGLECL1",61.5457996492718,64.1490881371359,67.0365409114078,68.4425645376214,68.407100848301,65.6245258628641,64.4137149126214,70.6063449271845,65.2934983088592,67.2629216377427,NA,"Macaca_fascicularis","testis","GSE125483"
"25","ENSMFAG00000000200","+","SIGLECL1","chr19",52021292,52021574,NA,NA,0.000184617977858,0.00784492624753,"0.069,0.074,0.2,0.202","0.216,0.16,0.162,0.18","SE","19","SIGLECL1",61.5457996492718,64.1490881371359,67.0365409114078,68.4425645376214,68.407100848301,65.6245258628641,64.4137149126214,70.6063449271845,65.2934983088592,67.2629216377427,NA,"Macaca_fascicularis","testis","GSE125483"
"26","ENSMFAG00000000200","+","SIGLECL1","chr19",52021701,52021807,52023297,52023454,2.51455084532e-08,3.74321118012e-07,"0.032,0.03,0.225,0.225","0.216,0.204,0.206,0.194","MXE","19","SIGLECL1",61.5457996492718,64.1490881371359,67.0365409114078,68.4425645376214,68.407100848301,65.6245258628641,64.4137149126214,70.6063449271845,65.2934983088592,67.2629216377427,NA,"Macaca_fascicularis","testis","GSE125483"
"27","ENSMFAG00000000200","+","SIGLECL1","chr19",52019811,52019901,NA,NA,0.00235134378094,0.0252534322073,"0.045,0.049,0.099,0.117","0.084,0.083,0.091,0.087","A3SS","19","SIGLECL1",61.5457996492718,64.1490881371359,67.0365409114078,68.4425645376214,68.407100848301,65.6245258628641,64.4137149126214,70.6063449271845,65.2934983088592,67.2629216377427,NA,"Macaca_fascicularis","testis","GSE125483"
"28","ENSMFAG00000000202","-","ACOT12","chr6",79607255,79607389,79614486,79614570,0.00244079750172,0.0134791271005,"0.665,0.398,0.0,0.0","0.726,0.0,0.0,0.0","MXE","6","ACOT12",0.368064676595745,0.354737,0.206727,0.210793,0.329636,0.26833,0.336576,0.383392,0.285080419148936,0.3294835,NA,"Macaca_fascicularis","testis","GSE125483"
"29","ENSMFAG00000000218","-","PEX26","chr10",32656598,32656894,32661416,32661557,0.0127260455721,0.0493983927715,"1.0,0.963,0.386,0.272","0.359,0.447,0.456,0.413","MXE","10","PEX26",2.91045,2.865312,2.740381,3.261772,2.60682906021438,3.224713,3.195856,2.711538,2.94447875,2.9347340150536,NA,"Macaca_fascicularis","testis","GSE125483"
"30","ENSMFAG00000000220","+","MFF","chr12",117125885,117126103,NA,NA,8.77679762201e-09,4.02087041058e-06,"0.918,0.94,0.989,0.983","0.988,0.975,0.978,0.978","SE","12","MFF",105.489086409031,108.202061374502,130.684819825144,121.258960049579,123.584535857016,126.085846975653,133.609927342187,113.725359492253,116.408731914564,124.251417416777,NA,"Macaca_fascicularis","testis","GSE125483"
"31","ENSMFAG00000000220","+","MFF","chr12",117127356,117127526,117135198,117135287,0.00311059951746,0.016551120639,"0.267,0.207,0.818,0.847","0.85,0.838,0.84,0.819","MXE","12","MFF",105.489086409031,108.202061374502,130.684819825144,121.258960049579,123.584535857016,126.085846975653,133.609927342187,113.725359492253,116.408731914564,124.251417416777,NA,"Macaca_fascicularis","testis","GSE125483"
"32","ENSMFAG00000000220","+","MFF","chr12",117142172,117142331,117147466,117147526,2.53649670157e-08,3.7705167588e-07,"0.029,0.034,0.087,0.09","0.084,0.079,0.073,0.085","MXE","12","MFF",105.489086409031,108.202061374502,130.684819825144,121.258960049579,123.584535857016,126.085846975653,133.609927342187,113.725359492253,116.408731914564,124.251417416777,NA,"Macaca_fascicularis","testis","GSE125483"
"33","ENSMFAG00000000220","+","MFF","chr12",117135198,117135287,117142172,117142331,0,0,"1.0,1.0,0.969,0.97","0.97,0.964,0.973,0.971","MXE","12","MFF",105.489086409031,108.202061374502,130.684819825144,121.258960049579,123.584535857016,126.085846975653,133.609927342187,113.725359492253,116.408731914564,124.251417416777,NA,"Macaca_fascicularis","testis","GSE125483"
"34","ENSMFAG00000000220","+","MFF","chr12",117142172,117142331,NA,NA,6.87306328495e-06,0.000723151491082,"0.041,0.047,0.155,0.147","0.127,0.133,0.117,0.129","SE","12","MFF",105.489086409031,108.202061374502,130.684819825144,121.258960049579,123.584535857016,126.085846975653,133.609927342187,113.725359492253,116.408731914564,124.251417416777,NA,"Macaca_fascicularis","testis","GSE125483"
"35","ENSMFAG00000000220","+","MFF","chr12",117135198,117135287,117142172,117142331,7.583119246e-05,0.000609971890157,"0.976,0.976,0.954,0.948","0.958,0.948,0.959,0.953","MXE","12","MFF",105.489086409031,108.202061374502,130.684819825144,121.258960049579,123.584535857016,126.085846975653,133.609927342187,113.725359492253,116.408731914564,124.251417416777,NA,"Macaca_fascicularis","testis","GSE125483"
"36","ENSMFAG00000000220","+","MFF","chr12",117137667,117137742,117142172,117142331,0.000211714336652,0.00153860453685,"0.879,0.867,0.765,0.779","0.729,0.76,0.778,0.782","MXE","12","MFF",105.489086409031,108.202061374502,130.684819825144,121.258960049579,123.584535857016,126.085846975653,133.609927342187,113.725359492253,116.408731914564,124.251417416777,NA,"Macaca_fascicularis","testis","GSE125483"
"37","ENSMFAG00000000220","+","MFF","chr12",117142172,117142331,NA,NA,4.14026888906e-06,0.00050580284928,"0.081,0.053,1.0,0.912","1.0,0.98,0.967,0.939","SE","12","MFF",105.489086409031,108.202061374502,130.684819825144,121.258960049579,123.584535857016,126.085846975653,133.609927342187,113.725359492253,116.408731914564,124.251417416777,NA,"Macaca_fascicularis","testis","GSE125483"
"38","ENSMFAG00000000220","+","MFF","chr12",117127356,117127526,117135198,117135287,0.000146446079471,0.00111054943599,"0.035,0.03,0.642,0.668","0.647,0.62,0.612,0.624","MXE","12","MFF",105.489086409031,108.202061374502,130.684819825144,121.258960049579,123.584535857016,126.085846975653,133.609927342187,113.725359492253,116.408731914564,124.251417416777,NA,"Macaca_fascicularis","testis","GSE125483"
"39","ENSMFAG00000000220","+","MFF","chr12",117127356,117127526,117135198,117135287,0.00080354251521,0.00509023754339,"0.055,0.046,0.707,0.727","0.703,0.692,0.673,0.676","MXE","12","MFF",105.489086409031,108.202061374502,130.684819825144,121.258960049579,123.584535857016,126.085846975653,133.609927342187,113.725359492253,116.408731914564,124.251417416777,NA,"Macaca_fascicularis","testis","GSE125483"
"40","ENSMFAG00000000220","+","MFF","chr12",117142172,117142331,NA,NA,0.000308000234607,0.0116875326299,"0.191,0.17,0.537,0.447","0.55,0.568,0.59,0.522","SE","12","MFF",105.489086409031,108.202061374502,130.684819825144,121.258960049579,123.584535857016,126.085846975653,133.609927342187,113.725359492253,116.408731914564,124.251417416777,NA,"Macaca_fascicularis","testis","GSE125483"
"41","ENSMFAG00000000220","+","MFF","chr12",117142172,117142331,NA,NA,0.0010299510204,0.0287796483644,"0.132,0.136,0.247,0.315","0.254,0.299,0.25,0.306","SE","12","MFF",105.489086409031,108.202061374502,130.684819825144,121.258960049579,123.584535857016,126.085846975653,133.609927342187,113.725359492253,116.408731914564,124.251417416777,NA,"Macaca_fascicularis","testis","GSE125483"
"42","ENSMFAG00000000220","+","MFF","chr12",117142172,117142331,117147466,117147526,0,0,"0.001,0.001,0.089,0.098","0.091,0.097,0.08,0.093","MXE","12","MFF",105.489086409031,108.202061374502,130.684819825144,121.258960049579,123.584535857016,126.085846975653,133.609927342187,113.725359492253,116.408731914564,124.251417416777,NA,"Macaca_fascicularis","testis","GSE125483"
"43","ENSMFAG00000000220","+","MFF","chr12",117142172,117142331,117147466,117147526,0,0,"0.019,0.019,0.081,0.089","0.086,0.093,0.076,0.097","MXE","12","MFF",105.489086409031,108.202061374502,130.684819825144,121.258960049579,123.584535857016,126.085846975653,133.609927342187,113.725359492253,116.408731914564,124.251417416777,NA,"Macaca_fascicularis","testis","GSE125483"
"44","ENSMFAG00000000232","+","MAMLD1","chrX",147442625,147442827,NA,NA,4.77839984692e-07,0.000100073345365,"0.005,0.0,0.14,0.138","0.129,0.167,0.238,0.126","SE","X","MAMLD1",2.98546123745255,2.96070445072403,2.8051402049768,3.15125436918319,2.5777951013637,2.91290478433854,2.83171015928581,2.95775298242654,2.97564006558414,2.82004075685365,NA,"Macaca_fascicularis","testis","GSE125483"
"45","ENSMFAG00000000237","+","RFX3","chr15",75875028,75875237,75890304,75890458,7.10897452016e-10,1.42247453831e-08,"0.0,0.002,0.414,0.433","0.424,0.442,0.389,0.443","MXE","15","RFX3",15.1999757848909,15.0194236556291,14.2098984809909,14.2139812030905,15.7206991209222,15.171713592102,14.2424092754476,15.7794196877606,14.6608197811503,15.2285604190581,NA,"Macaca_fascicularis","testis","GSE125483"
"46","ENSMFAG00000000238","+","ARMC2","chr4",12793319,12793491,NA,NA,0.00122423240002,0.0327305416127,"0.944,0.929,0.993,0.982","1.0,0.982,0.957,0.985","SE","4","ARMC2",50.455307,48.485287,45.694702,42.481209,44.34346,48.1269,50.5644,48.185493,46.77912625,47.80506325,NA,"Macaca_fascicularis","testis","GSE125483"
"47","ENSMFAG00000000238","+","ARMC2","chr4",12793319,12793491,12801023,12801231,0.000200803733378,0.00147986695056,"0.066,0.085,0.377,0.352","0.391,0.358,0.339,0.316","MXE","4","ARMC2",50.455307,48.485287,45.694702,42.481209,44.34346,48.1269,50.5644,48.185493,46.77912625,47.80506325,NA,"Macaca_fascicularis","testis","GSE125483"
"48","ENSMFAG00000000238","+","ARMC2","chr4",12824579,12824678,12830351,12830527,0.0108321719836,0.0440056986834,"0.605,0.62,0.488,0.524","0.488,0.478,0.495,0.513","MXE","4","ARMC2",50.455307,48.485287,45.694702,42.481209,44.34346,48.1269,50.5644,48.185493,46.77912625,47.80506325,NA,"Macaca_fascicularis","testis","GSE125483"
"49","ENSMFAG00000000241","+","FMR1","chrX",144844063,144844138,NA,NA,0.00011514105246,0.00247322980684,"0.632,0.621,1.0,0.805","1.0,1.0,0.764,0.921","A3SS","X","FMR1",5.50344303367003,4.71058095151515,4.13214880673401,3.5490369986532,4.21593755892256,4.925832596633,5.11927120740741,4.67121137710438,4.4738024476431,4.73306318501684,NA,"Macaca_fascicularis","testis","GSE125483"
"50","ENSMFAG00000000244","+",NA,"chr20",28456582,28456753,NA,NA,2.28634762378e-06,0.000325416079268,"0.936,0.971,0.87,0.816","1.0,0.971,1.0,1.0","SE","20","ENSMFAG00000000244",10.904765,10.320703,9.885942,11.608546,10.645971,11.299334,10.4845,11.050783,10.679989,10.870147,NA,"Macaca_fascicularis","testis","GSE125483"
"51","ENSMFAG00000000251","-","NSMCE4A","chr9",121256856,121256951,NA,NA,0.00147771196664,0.0380279533603,"0.913,0.92,1.0,0.6","0.895,1.0,1.0,0.937","SE","9","NSMCE4A",2.79908182818533,2.46131347876448,2.89359215830116,2.26561557464607,2.82101961454311,2.52762779407979,2.95999772586873,2.71424604440154,2.60490075997426,2.75572279472329,NA,"Macaca_fascicularis","testis","GSE125483"
"52","ENSMFAG00000000253","-","KLHDC4","chr20",76139759,76139858,76145625,76145717,3.09273499816e-05,0.000266601909026,"0.993,0.976,0.717,0.694","0.742,0.758,0.676,0.667","MXE","20","KLHDC4",25.1476817175168,25.5578840024062,30.3501822362849,30.4346160866218,32.9013010822907,27.4827086770934,27.8045415346487,27.6139657723773,27.8725910107074,28.9506292666025,NA,"Macaca_fascicularis","testis","GSE125483"
"53","ENSMFAG00000000255","+","CLCC1","chr1",117863282,117863380,NA,NA,0.0013258390844,0.0349164089413,"0.828,0.936,1.0,1.0","1.0,1.0,1.0,1.0","SE","1","CLCC1",3.45821605974142,3.36419669572002,2.82126752073116,2.867758259251,3.13017257467677,3.26086639300045,3.55573275568435,3.17073349621043,3.1278596338609,3.279376304893,NA,"Macaca_fascicularis","testis","GSE125483"
"54","ENSMFAG00000000260","-","UBE2D4","chr3",76491267,76491345,NA,NA,0.0014192521731,0.0369044567358,"0.798,0.824,1.0,1.0","1.0,0.975,1.0,0.872","SE","3","UBE2D4",26.0390227856776,28.1754484663758,28.3818633842402,28.8849001083162,27.8310304617556,27.4804246837782,27.4793140310575,27.7762266262834,27.8703086861525,27.6417489507187,NA,"Macaca_fascicularis","testis","GSE125483"
"55","ENSMFAG00000000260","-","UBE2D4","chr3",76491441,76491473,76496115,76496179,0.00234229292406,0.0130037641646,"0.513,0.502,0.368,0.361","0.323,0.363,0.338,0.321","MXE","3","UBE2D4",26.0390227856776,28.1754484663758,28.3818633842402,28.8849001083162,27.8310304617556,27.4804246837782,27.4793140310575,27.7762266262834,27.8703086861525,27.6417489507187,NA,"Macaca_fascicularis","testis","GSE125483"
"56","ENSMFAG00000000261","+","TRPM4","chr19",50000053,50000153,NA,NA,0.00175147788573,0.0431057624031,"0.73,0.651,1.0,1.0","1.0,0.293,1.0,1.0","SE","19","TRPM4",1.02894556229736,1.08581747105141,1.1693410143585,1.31778751736915,1.37495860352015,1.11303176262158,1.18067855488652,1.02018980176007,1.1504728912691,1.17221468069708,NA,"Macaca_fascicularis","testis","GSE125483"
"57","ENSMFAG00000000265","-","ZMYND10","chr2",105591795,105591884,105591984,105592122,0,0,"1.0,1.0,0.909,0.913","0.902,0.906,0.9,0.918","MXE","2","ZMYND10",143.522931756957,155.170772226345,167.479845656772,168.761440533395,165.577165683673,153.517714867347,152.177540117811,160.337057465677,158.733747543367,157.902369533627,NA,"Macaca_fascicularis","testis","GSE125483"
"58","ENSMFAG00000000265","-","ZMYND10","chr2",105591071,105591244,105591595,105591696,3.41455752562e-11,9.16239602708e-10,"0.984,0.987,0.682,0.649","0.627,0.656,0.661,0.704","MXE","2","ZMYND10",143.522931756957,155.170772226345,167.479845656772,168.761440533395,165.577165683673,153.517714867347,152.177540117811,160.337057465677,158.733747543367,157.902369533627,NA,"Macaca_fascicularis","testis","GSE125483"
"59","ENSMFAG00000000265","-","ZMYND10","chr2",105590689,105590815,105591071,105591330,2.10942374679e-15,1.44281826864e-13,"0.006,0.006,0.274,0.297","0.295,0.277,0.277,0.267","MXE","2","ZMYND10",143.522931756957,155.170772226345,167.479845656772,168.761440533395,165.577165683673,153.517714867347,152.177540117811,160.337057465677,158.733747543367,157.902369533627,NA,"Macaca_fascicularis","testis","GSE125483"
"60","ENSMFAG00000000265","-","ZMYND10","chr2",105591795,105591884,105591984,105592122,0,0,"0.992,0.994,0.904,0.911","0.892,0.901,0.897,0.917","MXE","2","ZMYND10",143.522931756957,155.170772226345,167.479845656772,168.761440533395,165.577165683673,153.517714867347,152.177540117811,160.337057465677,158.733747543367,157.902369533627,NA,"Macaca_fascicularis","testis","GSE125483"
"61","ENSMFAG00000000265","-","ZMYND10","chr2",105591071,105591330,105591595,105591696,1.11022302463e-16,9.68206996063e-15,"0.993,0.993,0.737,0.706","0.689,0.711,0.719,0.751","MXE","2","ZMYND10",143.522931756957,155.170772226345,167.479845656772,168.761440533395,165.577165683673,153.517714867347,152.177540117811,160.337057465677,158.733747543367,157.902369533627,NA,"Macaca_fascicularis","testis","GSE125483"
"62","ENSMFAG00000000265","-","ZMYND10","chr2",105591330,105591244,NA,NA,0.000446445234224,0.00656824906242,"0.0,0.0,0.693,0.837","0.544,0.728,0.76,0.914","A3SS","2","ZMYND10",143.522931756957,155.170772226345,167.479845656772,168.761440533395,165.577165683673,153.517714867347,152.177540117811,160.337057465677,158.733747543367,157.902369533627,NA,"Macaca_fascicularis","testis","GSE125483"
"63","ENSMFAG00000000267","+","ABRAXAS1","chr5",50913719,50913913,50914952,50915072,1.826152911e-06,1.94609879976e-05,"0.022,0.059,0.354,0.37","0.478,0.373,0.372,0.391","MXE","5","ABRAXAS1",10.5317656228996,9.09164131809301,8.39207543571708,7.50839803907776,7.86724068894099,8.99642730558812,9.13095399570144,8.98008792379836,8.88097010394686,8.74367747850723,NA,"Macaca_fascicularis","testis","GSE125483"
"64","ENSMFAG00000000267","+","ABRAXAS1","chr5",50911847,50911914,50913719,50913913,0.00104433839568,0.00643260818763,"0.57,0.611,0.395,0.425","0.315,0.349,0.382,0.358","MXE","5","ABRAXAS1",10.5317656228996,9.09164131809301,8.39207543571708,7.50839803907776,7.86724068894099,8.99642730558812,9.13095399570144,8.98008792379836,8.88097010394686,8.74367747850723,NA,"Macaca_fascicularis","testis","GSE125483"
"65","ENSMFAG00000000267","+","ABRAXAS1","chr5",50913719,50913913,50914952,50915072,0.011072190388,0.0447203675841,"0.382,0.424,0.454,0.493","0.581,0.477,0.499,0.509","MXE","5","ABRAXAS1",10.5317656228996,9.09164131809301,8.39207543571708,7.50839803907776,7.86724068894099,8.99642730558812,9.13095399570144,8.98008792379836,8.88097010394686,8.74367747850723,NA,"Macaca_fascicularis","testis","GSE125483"
"66","ENSMFAG00000000283","+","PLCG1","chr10",72802055,72802238,72802572,72802773,3.71593611437e-09,6.44896707079e-08,"0.007,0.009,0.319,0.273","0.268,0.301,0.296,0.261","MXE","10","PLCG1",28.0558436183794,26.669570275141,28.449362485899,30.8209893952401,26.5449082250653,27.3755029042509,26.8723818943458,24.7836303040308,28.4989414436649,26.3941058319232,NA,"Macaca_fascicularis","testis","GSE125483"
"67","ENSMFAG00000000284","+","PPP1R36","chr7",128920471,128920606,128938058,128938101,3.26301996534e-09,5.72944696934e-08,"0.008,0.002,0.347,0.36","0.332,0.299,0.325,0.242","MXE","7","PPP1R36",53.551571,52.23613,54.27879,50.123383,53.569164,51.993546,53.388786,52.669117,52.5474685,52.90515325,NA,"Macaca_fascicularis","testis","GSE125483"
