,id,strand,symbol.x,chr.x,as_site1,as_site2,as_site3,as_site4,as_pvalue,IncLevel1,IncLevel2,as_type,female,male,..files.brain_mean_female,..files.brain_mean_male,Remark,Organism,Tissue,GEO_accession
31,ENSCAFG00000000398,-,LRP11,chr1,40564842,40564968,40569556,40569698,0.001770402,"0.966,0.704,0.67","0.952,0.955,0.802",MXE,"59.9258612457293,51.9475914694481,51.7168463843627","55.576324227661,51.0490519855453,67.8656694520368",54.5300997,58.16368189,NA,dog,brain,GSE125483
32,ENSCAFG00000000405,+,PLEKHG1,chr1,41129257,41129314,41204378,41204884,0.003523409,"0.0,0.0,0.21","0.244,0.53,0.0",MXE,"1.79470312609567,1.01495707901327,1.33273089506637","0.888170470197846,1.63551708452292,1.37783923153018",1.380797033,1.300508929,NA,dog,brain,GSE125483
33,ENSCAFG00000000418,+,MDM2,chr10,10953174,10953335,10958640,10958796,0.002489197,"0.027,0.376,0.398","0.009,0.021,0.387",MXE,"18.2315706528728,17.1128087735978,18.8078020940492","19.7496843891929,19.5762436542408,23.927847745554",18.05072717,21.08459193,NA,dog,brain,GSE125483
34,ENSCAFG00000000441,+,CNOT2,chr10,12125016,12125139,12138743,12138810,4.1427E-05,"0.005,0.302,0.281","0.011,0.0,0.274",MXE,"13.1735811435247,11.7564578040721,11.0150459569426","12.0724558484646,17.8772827453271,13.6082721532043",11.98169497,14.51933692,NA,dog,brain,GSE125483
35,ENSCAFG00000000445,-,SYNE1,chr1,42403602,42403729,42405416,42405559,0.000406001,"0.996,0.649,0.592","0.997,1.0,0.661",MXE,"23.3672926476876,20.1069049854502,29.8352604315938","17.9977004643308,20.5313481581174,34.8588353127459",24.43648602,24.46262798,NA,dog,brain,GSE125483
36,ENSCAFG00000000448,+,DDR1,chr12,660319,660548,661941,662089,5.92184E-07,"0.985,0.537,0.667","0.992,0.966,0.916",MXE,"23.8972145022082,27.4937563646688,24.4180085905363","19.4058280435331,30.1322262031546,10.3268845022082",25.26965982,19.95497958,NA,dog,brain,GSE125483
37,ENSCAFG00000000502,+,NA,chr11,838381,839501,NA,NA,1.66801E-06,"1.0,1.0,1.0","0.193,0.218,1.0",SE,"1.1249159148644,1.73941681428081,1.75887592516306","1.9386237020254,1.07481048746996,3.87066480604188",1.541069551,2.294699665,NA,dog,brain,GSE125483
38,ENSCAFG00000000529,-,RGS22,chr13,1930202,1930375,NA,NA,2.3764E-07,"1.0,1.0,0.847","0.632,0.604,0.762",SE,"3.29605482877664,3.04232761561631,4.36597643396664","4.35339833480074,3.29048107367933,4.5401855523633",3.568119626,4.061354987,NA,dog,brain,GSE125483
39,ENSCAFG00000000529,-,RGS22,chr13,1920941,1921103,NA,NA,0.000176555,"1.0,1.0,0.696","0.666,0.553,0.798",SE,"3.29605482877664,3.04232761561631,4.36597643396664","4.35339833480074,3.29048107367933,4.5401855523633",3.568119626,4.061354987,NA,dog,brain,GSE125483
40,ENSCAFG00000000529,-,RGS22,chr13,1920941,1921103,1930202,1930375,0.000173233,"0.721,0.656,0.708","0.463,0.552,0.447",MXE,"3.29605482877664,3.04232761561631,4.36597643396664","4.35339833480074,3.29048107367933,4.5401855523633",3.568119626,4.061354987,NA,dog,brain,GSE125483
41,ENSCAFG00000000529,-,RGS22,chr13,1920941,1921103,1926650,1926809,0.000237138,"0.528,0.575,0.598","0.308,0.209,0.438",MXE,"3.29605482877664,3.04232761561631,4.36597643396664","4.35339833480074,3.29048107367933,4.5401855523633",3.568119626,4.061354987,NA,dog,brain,GSE125483
42,ENSCAFG00000000529,-,RGS22,chr13,1987121,1987251,NA,NA,0.000227541,"1.0,1.0,1.0","1.0,0.727,1.0",SE,"3.29605482877664,3.04232761561631,4.36597643396664","4.35339833480074,3.29048107367933,4.5401855523633",3.568119626,4.061354987,NA,dog,brain,GSE125483
43,ENSCAFG00000000534,+,SNX24,chr11,12867777,12868197,NA,NA,6.90716E-09,"1.0,1.0,1.0","0.543,0.756,1.0",RI,"20.3847374980803,30.2132341075044,19.0488851623037","27.7818933507853,27.7095230656195,23.7419096579407",23.21561892,26.41110869,NA,dog,brain,GSE125483
44,ENSCAFG00000000588,-,ALDH7A1,chr11,15842207,15842314,15846604,15846699,0.00140325,"0.997,0.646,0.686","0.976,0.996,0.702",MXE,"14.831842845231,15.2485742477505,17.4836268629274","15.5188262393521,15.1260801946611,18.4541653158368",15.85468132,16.36635725,NA,dog,brain,GSE125483
45,ENSCAFG00000000590,+,PHAX,chr11,15894772,15894856,NA,NA,0.000328139,"0.945,0.945,1.0","0.918,0.904,0.942",SE,"27.640509,26.095968,26.826851","34.969215,27.822672,43.668636",26.85444267,35.486841,NA,dog,brain,GSE125483
46,ENSCAFG00000000608,+,ARID1B,chr1,46625358,46625400,NA,NA,1.08757E-05,"0.055,0.088,0.0","0.186,0.211,0.082",SE,"10.7168173015622,9.6799058407934,8.67202570159733","8.41747035896086,11.3966590724943,8.04940524433913",9.689582948,9.287844892,NA,dog,brain,GSE125483
47,ENSCAFG00000000611,+,MEGF10,chr11,16558695,16558823,16560148,16560272,0.000277503,"1.0,0.476,0.479","1.0,0.992,0.68",MXE,"2.45389921360659,1.55319640819776,2.59167887914642","1.51265881132474,5.42048803950982,3.03061269385168",2.1995915,3.321253182,NA,dog,brain,GSE125483
48,ENSCAFG00000000612,+,SBF1,chr10,16832049,16832053,NA,NA,0.001334238,"1.0,1.0,1.0","0.973,0.967,1.0",A3SS,"23.9698320715624,30.3283315743738,20.6874205009371","23.122158352871,27.723401851082,11.538438185892",24.99519472,20.79466613,NA,dog,brain,GSE125483
49,ENSCAFG00000000642,-,NEU1,chr12,1326033,1326135,NA,NA,0.000143211,"0.968,0.948,0.953","0.792,0.864,1.0",RI,"23.5686803994452,25.8444848959778,24.439532220527","23.3119583855756,28.2571957933426,16.829231",24.61756584,22.79946173,NA,dog,brain,GSE125483
50,ENSCAFG00000000680,+,OXR1,chr13,7527699,7527852,7540609,7540794,0.000916716,"0.003,0.325,0.367","0.001,0.007,0.336",MXE,"103.426228006174,68.5988704252637,67.6460072374582","80.4978270213532,115.539742695138,138.432196186776",79.89036856,111.489922,NA,dog,brain,GSE125483
51,ENSCAFG00000000680,+,OXR1,chr13,7521212,7521326,7527699,7527852,0.001660448,"0.004,0.345,0.268","0.006,0.005,0.318",MXE,"103.426228006174,68.5988704252637,67.6460072374582","80.4978270213532,115.539742695138,138.432196186776",79.89036856,111.489922,NA,dog,brain,GSE125483
52,ENSCAFG00000000688,+,HDAC10,chr10,16998504,16998594,16998728,16998835,9.06962E-05,"0.0,0.217,0.245","0.0,0.031,0.0",MXE,"5.30322773452256,9.50354509233998,7.015725590766","5.99501793599161,8.98218008814271,2.89739436935992",7.274166139,5.958197464,NA,dog,brain,GSE125483
53,ENSCAFG00000000690,-,NELFE,chr12,1411735,1411818,NA,NA,0.001071705,"0.96,1.0,0.929","0.815,0.927,1.0",SE,"20.3078682576389,22.0219478784722,16.6892886270833","18.0053320166667,21.5220156340278,12.4606124083333",19.67303492,17.32932002,NA,dog,brain,GSE125483
54,ENSCAFG00000000701,+,NA,chr12,1439777,1439917,NA,NA,1.25759E-07,"1.0,1.0,1.0","0.793,0.876,0.814",SE,"8.51495101459581,14.3735492533683,14.6958608385105","6.78763897511227,15.1991087389596,5.64465519030689",12.52812037,9.210467635,NA,dog,brain,GSE125483
55,ENSCAFG00000000718,+,BRD1,chr10,17388758,17389791,NA,NA,0.000205519,"0.003,0.13,0.121","0.005,0.008,0.222",SE,"3.7869209182114,3.69268035220037,3.47167397212396","3.40469422682892,3.07195156601104,2.91943415579454",3.650425081,3.13202665,NA,dog,brain,GSE125483
56,ENSCAFG00000000741,-,SYBU,chr13,10116366,10116570,10122744,10122847,0.001250696,"0.562,0.4,0.447","0.57,0.579,0.705",MXE,"45.8195267971771,49.3930936459037,38.3642643817122","44.9484527882786,40.2247047750844,31.1949632184719",44.52562827,38.78937359,NA,dog,brain,GSE125483
57,ENSCAFG00000000741,-,SYBU,chr13,10147061,10147289,NA,NA,0.000921614,"0.015,0.034,0.035","0.013,0.009,0.044",SE,"45.8195267971771,49.3930936459037,38.3642643817122","44.9484527882786,40.2247047750844,31.1949632184719",44.52562827,38.78937359,NA,dog,brain,GSE125483
58,ENSCAFG00000000744,-,KCNV1,chr13,10447430,10447960,NA,NA,0.00018936,"1.0,0.98,0.98","0.928,0.924,1.0",SE,"19.053476,17.428806,12.189826","11.806164,21.462051,17.386885",16.224036,16.88503333,NA,dog,brain,GSE125483
59,ENSCAFG00000000766,+,PPT2,chr12,1551673,1551867,1552121,1552275,0.000735001,"0.055,0.394,0.386","0.061,0.072,0.242",MXE,"18.102604,24.10708,23.798733","20.294987,19.837166,9.090075",22.00280567,16.40740933,NA,dog,brain,GSE125483
60,ENSCAFG00000000766,+,PPT2,chr12,1552121,1552275,1552725,1552821,0.000589603,"0.339,0.423,0.441","0.284,0.277,0.29",MXE,"18.102604,24.10708,23.798733","20.294987,19.837166,9.090075",22.00280567,16.40740933,NA,dog,brain,GSE125483
61,ENSCAFG00000000771,-,AGPAT1,chr12,1560044,1560174,NA,NA,1.90687E-06,"1.0,1.0,1.0","0.469,0.261,1.0",SE,"35.9855435625,36.5939617125,30.2193701979167","36.2387989841667,43.5531940916667,17.7661754125",34.26629182,32.5193895,NA,dog,brain,GSE125483
62,ENSCAFG00000000799,-,ACSL6,chr11,20238585,20238687,20239882,20240026,0.00087747,"1.0,0.803,0.847","0.988,0.99,0.795",MXE,"49.7081343674852,55.5599366587638,57.6118473195032","52.2256839692351,48.2730758636748,60.8939933745413",54.29330612,53.7975844,NA,dog,brain,GSE125483
63,ENSCAFG00000000832,-,TAP1,chr12,2412239,2412437,NA,NA,0.000277573,"1.0,0.983,1.0","0.943,0.965,1.0",SE,"12.9095831315789,13.7132276408813,12.4853808037944","13.5187002903305,13.2186946183599,12.6560249342717",13.03606386,13.13113995,NA,dog,brain,GSE125483
64,ENSCAFG00000000867,+,RAD50,chr11,20854380,20854532,NA,NA,0.001128628,"0.914,1.0,1.0","0.858,0.843,1.0",SE,"13.5493381635731,11.637192062645,12.2050559470998","13.3335673238979,14.722976012993,18.3734831638051",12.46386206,15.4766755,NA,dog,brain,GSE125483
65,ENSCAFG00000000884,-,WDR27,chr1,56708726,56708868,NA,NA,0.00016641,"1.0,0.4,1.0","0.609,0.39,1.0",SE,"1.71726070593607,1.75889059665145,1.61782820730594","1.50761441369863,1.89220703211568,1.56537173287671",1.69799317,1.655064393,NA,dog,brain,GSE125483
66,ENSCAFG00000000903,-,COL11A2,chr12,2648590,2648653,NA,NA,0.000225481,"0.868,0.955,1.0","0.804,0.654,1.0",SE,"24.6678862480308,46.6824220018318,37.6797700624656","25.579957360872,54.6951797713867,9.16192930976369",36.34335944,29.81235548,NA,dog,brain,GSE125483
67,ENSCAFG00000000904,-,MPPED1,chr10,22081823,22081939,22104069,22104295,0.002715137,"0.989,0.731,0.735","0.989,0.998,0.606",MXE,"43.1902097174556,29.9736938076923,18.9243839023669","31.7377549038462,47.3742900266272,11.0528986420118",30.69609581,30.05498119,NA,dog,brain,GSE125483
68,ENSCAFG00000000928,-,GOPC,chr1,57808126,57808150,NA,NA,0.000492162,"0.972,0.918,0.892","0.895,0.875,0.789",SE,"13.2338704061433,12.9616314880546,11.9371709692833","11.4131226825939,14.3557215699659,19.5730728464164",12.71089095,15.11397237,NA,dog,brain,GSE125483
69,ENSCAFG00000000934,+,COL14A1,chr13,19125771,19125923,NA,NA,0.000192556,"1.0,1.0,1.0","0.864,0.709,1.0",SE,"1.38547525358099,2.21345994144499,3.23452216338738","1.56591562317016,2.67834845647725,1.4566283544782",2.277819119,1.900297478,NA,dog,brain,GSE125483
70,ENSCAFG00000000934,+,COL14A1,chr13,19125771,19125914,NA,NA,0.00111414,"1.0,1.0,1.0","0.916,0.81,1.0",SE,"1.38547525358099,2.21345994144499,3.23452216338738","1.56591562317016,2.67834845647725,1.4566283544782",2.277819119,1.900297478,NA,dog,brain,GSE125483
71,ENSCAFG00000000943,+,ARFGAP3,chr10,22687671,22687800,NA,NA,1.10545E-08,"1.0,1.0,0.945","0.874,0.899,1.0",SE,"9.13212361101368,8.67585295054367,10.6936215443704","9.31167425675202,10.2953163377762,10.9871778095405",9.500532702,10.19805613,NA,dog,brain,GSE125483
72,ENSCAFG00000000948,+,HSPA4,chr11,21355114,21355267,21356166,21356292,0.000922079,"1.0,0.737,0.711","1.0,0.997,0.689",MXE,"35.0031586200045,30.5569980508015,29.599338668774","32.4676194883721,37.1320900467374,53.1229081454053",31.71983178,40.90753923,NA,dog,brain,GSE125483
73,ENSCAFG00000000963,-,RGL2,chr12,2738586,2738786,NA,NA,0.001322325,"1.0,0.863,1.0","1.0,0.779,1.0",SE,"15.7847853621262,25.0268350603544,20.6064956968439","16.8129062200997,21.358608654485,9.95121099280177",20.47270537,16.04090862,NA,dog,brain,GSE125483
74,ENSCAFG00000000981,-,DAXX,chr12,2759124,2759383,NA,NA,0.000517513,"0.952,1.0,1.0","0.885,0.88,0.683",SE,"8.00527384891858,8.34612284192112,7.29300886577608","8.07889921787532,7.32869269624682,4.58953980470738",7.881468519,6.665710573,NA,dog,brain,GSE125483
75,ENSCAFG00000000986,+,TBC1D31,chr13,21520162,21520166,NA,NA,5.44141E-06,"1.0,1.0,1.0","0.925,0.88,1.0",A3SS,"3.07565111086019,2.59374726729624,2.66457244426196","2.83712633545473,2.67020311599261,3.17685156641347",2.777990274,2.894727006,NA,dog,brain,GSE125483
76,ENSCAFG00000001000,-,NA,chr13,21616247,21616343,NA,NA,0.000233786,"1.0,1.0,1.0","0.815,0.923,1.0",SE,"13.0645816899853,15.5904364064801,14.5085919145803","15.1122893637702,12.4373543269514,18.1843086450663",14.38787,15.24465078,NA,dog,brain,GSE125483
77,ENSCAFG00000001008,-,CUTA,chr12,2827548,2827730,2828170,2828230,0.001137701,"0.995,0.638,0.661","0.999,0.996,0.662",MXE,"44.2888911639209,44.1450205428336,38.0966538088962","49.6746277957166,41.4798443616145,36.6785683253707",42.17685517,42.61101349,NA,dog,brain,GSE125483
78,ENSCAFG00000001019,+,UBE2B,chr11,22533620,22533710,22538155,22538244,2.92754E-05,"0.005,0.172,0.185","0.009,0.005,0.205",MXE,"70.710274,75.684708,81.25415","75.331963,70.658684,113.418228",75.883044,86.469625,NA,dog,brain,GSE125483
79,ENSCAFG00000001023,-,MEI1,chr10,23590850,23590950,NA,NA,0.000427909,"1.0,1.0,1.0","0.695,0.675,1.0",SE,"2.432523,2.734387,2.397464","1.877756,2.750263,2.251594",2.521458,2.293204333,NA,dog,brain,GSE125483
80,ENSCAFG00000001023,-,MEI1,chr10,23534697,23534807,NA,NA,0.001113125,"0.916,1.0,1.0","0.898,0.799,1.0",SE,"2.432523,2.734387,2.397464","1.877756,2.750263,2.251594",2.521458,2.293204333,NA,dog,brain,GSE125483
81,ENSCAFG00000001029,+,TPD52L1,chr1,64209049,64209088,NA,NA,0.000303468,"0.927,1.0,1.0","0.772,0.873,1.0",SE,"22.4274574096141,27.9676544001354,20.9395817664184","28.0352029844279,22.2192344989844,22.9660053574814",23.77823119,24.40681428,NA,dog,brain,GSE125483
82,ENSCAFG00000001044,-,TATDN1,chr13,22590331,22590408,NA,NA,0.00066611,"0.966,1.0,0.974","0.977,0.905,0.839",SE,"17.730005,20.646616,20.235256","24.755651,18.658964,21.546026",19.53729233,21.653547,NA,dog,brain,GSE125483
83,ENSCAFG00000001044,-,TATDN1,chr13,22593177,22593263,22605948,22605998,9.07394E-06,"1.0,0.796,0.796","0.994,1.0,0.871",MXE,"17.730005,20.646616,20.235256","24.755651,18.658964,21.546026",19.53729233,21.653547,NA,dog,brain,GSE125483
84,ENSCAFG00000001046,+,DESI1,chr10,23678165,23678275,NA,NA,0.000398317,"0.952,0.947,0.91","0.879,0.883,0.855",SE,"20.040571,18.964367,16.346724","16.410448,21.809563,12.643561",18.450554,16.954524,NA,dog,brain,GSE125483
85,ENSCAFG00000001058,+,TXNDC15,chr11,22949024,22949512,22951200,22951364,0.003067383,"0.087,0.416,0.343","0.087,0.088,0.234",MXE,"66.607445,73.940941,68.750229","76.178772,73.934715,80.996727",69.766205,77.036738,NA,dog,brain,GSE125483
86,ENSCAFG00000001058,+,TXNDC15,chr11,22949024,22949512,22956104,22956235,0.003480649,"0.068,0.382,0.255","0.064,0.071,0.22",MXE,"66.607445,73.940941,68.750229","76.178772,73.934715,80.996727",69.766205,77.036738,NA,dog,brain,GSE125483
87,ENSCAFG00000001101,-,PTPRK,chr1,66632723,66632735,66634601,66634637,1.92959E-06,"0.848,1.0,1.0","1.0,1.0,1.0",MXE,"20.573222217084,18.6004895218094,14.9431729569871","16.163724690832,17.6561717102181,19.1192535827948",18.03896157,17.64638333,NA,dog,brain,GSE125483
88,ENSCAFG00000001101,-,PTPRK,chr1,66632723,66632735,NA,NA,1.12247E-05,"0.406,0.0,0.0","0.0,0.0,0.0",SE,"20.573222217084,18.6004895218094,14.9431729569871","16.163724690832,17.6561717102181,19.1192535827948",18.03896157,17.64638333,NA,dog,brain,GSE125483
89,ENSCAFG00000001114,-,ARHGAP18,chr1,68189562,68189738,68194204,68194268,0.001948533,"0.992,0.663,0.691","0.992,0.995,0.774",MXE,"5.95773215294974,7.72691059905317,7.86797042352513","7.50020233831027,6.25757173233795,9.10535799763292",7.184204392,7.621044023,NA,dog,brain,GSE125483
90,ENSCAFG00000001126,-,KLHL3,chr11,25365909,25366059,NA,NA,6.73043E-05,"1.0,1.0,1.0","0.853,0.972,0.891",SE,"9.62065749688548,8.64824278965022,9.42227646669861","6.71436160421658,10.165688498323,11.4266810843316",9.230392251,9.435577062,NA,dog,brain,GSE125483
91,ENSCAFG00000001136,-,EPB41L2,chr1,69143377,69143542,NA,NA,2.61645E-05,"0.02,0.097,0.047","0.016,0.023,0.052",SE,"37.6463197627332,54.7868086454866,56.5517019445285","52.0314789531014,40.8932853033283,47.5676262854261",49.66161012,46.83079685,NA,dog,brain,GSE125483
92,ENSCAFG00000001136,-,EPB41L2,chr1,69138580,69138703,69140548,69141118,6.9476E-05,"0.002,0.264,0.196","0.001,0.0,0.23",MXE,"37.6463197627332,54.7868086454866,56.5517019445285","52.0314789531014,40.8932853033283,47.5676262854261",49.66161012,46.83079685,NA,dog,brain,GSE125483
93,ENSCAFG00000001136,-,EPB41L2,chr1,69147041,69147143,NA,NA,0.001030392,"0.014,0.19,0.184","0.015,0.019,0.154",SE,"37.6463197627332,54.7868086454866,56.5517019445285","52.0314789531014,40.8932853033283,47.5676262854261",49.66161012,46.83079685,NA,dog,brain,GSE125483
