,id,strand,symbol.x,chr.x,as_site1,as_site2,as_site3,as_site4,as_pvalue,IncLevel1,IncLevel2,as_type,FPKM.SRR8474229,FPKM.SRR8474240,FPKM.SRR8474258,FPKM.SRR8474281,FPKM.SRR8474290,female,m,..files.adrenal_mean_female,..files.adrenal_mean_male,Remark,Organism,Tissue,GEO_accession
18,ENSCAFG00000000529,-,RGS22,chr13,1926650,1926809,NA,NA,0.000295042,"1.0,0.866,0.822","1.0,1.0",SE,10.5723883,18.99183967,8.81488481,7.050992067,8.084376567,"10.572388304912,8.81488480954588,7.05099206672845","18.9918396723818,8.08437656696015",8.81275506,9.025405413,NA,dog,adrenal,GSE125483
19,ENSCAFG00000000533,+,PRRC2A,chr12,1118583,1118794,NA,NA,3.01E-05,"1.0,0.986,0.93","1.0,1.0",SE,64.195152,21.368126,54.910847,56.324066,47.32336,"64.195152,54.910847,56.324066","21.368126,47.32336",58.47668833,22.897162,NA,dog,adrenal,GSE125483
20,ENSCAFG00000000572,+,LMF2,chr10,16804587,16804684,NA,NA,0.000379729,"0.967,1.0,0.955","1.0,0.875",SE,29.298861,7.924379,19.695225,14.354657,18.766315,"29.298861,19.695225,14.354657","7.924379,18.766315",21.11624767,8.896898,NA,dog,adrenal,GSE125483
21,ENSCAFG00000000607,-,ABHD16A,chr12,1180170,1180257,NA,NA,0.000669147,"0.945,0.982,0.883","1.0,0.957",SE,100.838913,75.231133,86.384026,75.924736,91.458687,"100.838913,86.384026,75.924736","75.231133,91.458687",87.71589167,55.56327333,NA,dog,adrenal,GSE125483
22,ENSCAFG00000000612,+,SBF1,chr10,16832049,16832053,NA,NA,6.62E-05,"0.952,0.952,0.947","1.0,0.986",A3SS,37.82968944,13.86366694,26.71379777,33.69027204,30.51159383,"37.8296894447095,26.713797766059,33.6902720449821","13.8636669395127,30.5115938284205",32.74458642,14.79175359,NA,dog,adrenal,GSE125483
23,ENSCAFG00000000620,-,PPP6R2,chr10,16859818,16859971,NA,NA,0.000115015,"1.0,0.979,0.919","1.0,0.988",SE,23.66632254,13.64836349,19.85459435,18.4095939,20.98703945,"23.6663225386051,19.8545943519944,18.4095938992302","13.6483634870539,20.9870394478656",20.6435036,11.54513431,NA,dog,adrenal,GSE125483
24,ENSCAFG00000000620,-,PPP6R2,chr10,16898200,16898411,NA,NA,1.07E-08,"0.082,0.082,0.046","0.046,0.008",SE,23.66632254,13.64836349,19.85459435,18.4095939,20.98703945,"23.6663225386051,19.8545943519944,18.4095938992302","13.6483634870539,20.9870394478656",20.6435036,11.54513431,NA,dog,adrenal,GSE125483
25,ENSCAFG00000000630,-,VWA7,chr12,1251275,1251445,NA,NA,0.000540116,"1.0,1.0,1.0","1.0,0.631",SE,0.842857,0.074637,1.326827,0.931503,1.245157,"0.842857,1.326827,0.931503","0.074637,1.245157",1.033729,0.439931333,NA,dog,adrenal,GSE125483
26,ENSCAFG00000000636,-,VARS,chr12,1256359,1256491,NA,NA,0.000122253,"0.079,0.15,0.001","0.179,0.002",RI,28.64981658,16.03826924,23.2492896,25.13746505,21.67916391,"28.6498165767421,23.2492896029577,25.1374650542236","16.038269236164,21.679163906341",25.67885708,12.57247771,NA,dog,adrenal,GSE125483
27,ENSCAFG00000000688,+,HDAC10,chr10,16998504,16998594,16998728,16998835,0.000181842,"0.291,0.161,0.0","0.104,0.01",MXE,26.05449532,6.855290747,16.37835367,8.84403135,14.04666558,"26.0544953242392,16.3783536747114,8.84403135047219","6.85529074711438,14.0466655792235",17.09229345,6.967318775,NA,dog,adrenal,GSE125483
28,ENSCAFG00000000691,+,IGF2R,chr1,49165913,49166095,NA,NA,0.000343676,"1.0,0.229,0.033","0.0,0.012",SE,18.19517183,28.29094967,22.71988233,22.46322323,24.9867943,"18.1951718321261,22.7198823309544,22.4632232343417","28.2909496747976,24.9867943027269",21.12609247,17.75924799,NA,dog,adrenal,GSE125483
29,ENSCAFG00000000701,+,NA,chr12,1439777,1439917,1440031,1440241,0.000681706,"0.396,0.375,0.413","0.513,0.455",MXE,315.2342659,111.7337031,221.2461589,209.2461887,201.2686896,"315.234265921969,221.246158927957,209.246188722493","111.733703057635,201.268689617702",248.5755379,104.3341309,NA,dog,adrenal,GSE125483
30,ENSCAFG00000000751,-,TNXB,chr12,1454794,1454927,NA,NA,0.000104846,"1.0,1.0,0.859","1.0,1.0",SE,19.728695,4.496603,11.394472,13.71400361,10.70802202,"19.728695,11.394472,13.7140036094183","4.496603,10.7080220193906",14.94572354,5.06820834,NA,dog,adrenal,GSE125483
31,ENSCAFG00000000751,-,TNXB,chr12,1470752,1471049,NA,NA,0.001093718,"1.0,1.0,0.761","1.0,0.635",SE,19.728695,4.496603,11.394472,13.71400361,10.70802202,"19.728695,11.394472,13.7140036094183","4.496603,10.7080220193906",14.94572354,5.06820834,NA,dog,adrenal,GSE125483
32,ENSCAFG00000000811,-,SFT2D1,chr1,54343485,54343567,54344843,54344926,8.81E-05,"0.843,0.81,0.949","0.839,0.998",MXE,56.62788,92.419128,61.654865,60.928387,64.915222,"56.62788,61.654865,60.928387","92.419128,64.915222",59.737044,52.44478333,NA,dog,adrenal,GSE125483
33,ENSCAFG00000000811,-,SFT2D1,chr1,54344843,54344926,NA,NA,1.61E-07,"0.972,0.949,0.962","0.957,1.0",SE,56.62788,92.419128,61.654865,60.928387,64.915222,"56.62788,61.654865,60.928387","92.419128,64.915222",59.737044,52.44478333,NA,dog,adrenal,GSE125483
34,ENSCAFG00000000861,+,PHF21B,chr10,21046528,21046653,NA,NA,0.000107765,"0.727,1.0,0.0","0.153,0.0",RI,3.569392633,1.735666306,3.157288689,1.643508874,3.258074953,"3.5693926326236,3.15728868892097,1.64350887405269","1.73566630602671,3.25807495344641",2.790063399,1.66458042,NA,dog,adrenal,GSE125483
35,ENSCAFG00000000865,-,ENPP2,chr13,18695192,18695273,NA,NA,0.001945691,"0.223,0.318,0.0","0.1,0.002",RI,1176.608263,1922.681497,1088.823727,1798.911856,1579.326946,"1176.60826253187,1088.82372736647,1798.91185612918","1922.68149690677,1579.32694625779",1354.781282,1167.336148,NA,dog,adrenal,GSE125483
36,ENSCAFG00000000909,+,TTLL12,chr10,22374128,22374262,NA,NA,0.000934437,"0.966,0.98,0.954","0.94,0.904",SE,15.94407025,7.870545621,14.38668226,8.407746161,14.27506709,"15.9440702485966,14.3866822590216,8.40774616118685","7.87054562149158,14.2750670946271",12.91283289,7.381870905,NA,dog,adrenal,GSE125483
37,ENSCAFG00000000970,-,SERHL2,chr10,22926863,22926977,NA,NA,0.000230091,"1.0,1.0,0.977","1.0,0.915",SE,28.145897,11.538339,13.980688,13.168465,12.697335,"28.145897,13.980688,13.168465","11.538339,12.697335",18.43168333,8.078558,NA,dog,adrenal,GSE125483
38,ENSCAFG00000000989,-,SERINC1,chr1,61826820,61826990,NA,NA,3.87E-05,"0.932,0.949,0.91","0.957,0.965",SE,55.79902122,108.5453476,83.44893687,113.3213944,111.1251182,"55.7990212211484,83.4489368709494,113.321394389994","108.545347617965,111.12511816714",84.18978416,73.2234886,NA,dog,adrenal,GSE125483
39,ENSCAFG00000001010,-,CDKL3,chr11,22487295,22487435,NA,NA,0.000267157,"1.0,0.797,1.0","0.752,0.522",SE,0.95053257,1.35286719,1.545160612,0.902398595,1.173769003,"0.950532569892473,1.54516061225155,0.902398595307918","1.35286718963832,1.17376900260671",1.132697259,0.842212064,NA,dog,adrenal,GSE125483
40,ENSCAFG00000001010,-,CDKL3,chr11,22474085,22474179,NA,NA,0.000255189,"1.0,0.811,0.819","0.0,0.544",SE,0.95053257,1.35286719,1.545160612,0.902398595,1.173769003,"0.950532569892473,1.54516061225155,0.902398595307918","1.35286718963832,1.17376900260671",1.132697259,0.842212064,NA,dog,adrenal,GSE125483
41,ENSCAFG00000001019,+,UBE2B,chr11,22529162,22529188,22533620,22533710,0.000237992,"0.122,0.166,0.158","0.219,0.24",MXE,53.924484,75.78566,49.335846,46.87825,53.81485,"53.924484,49.335846,46.87825","75.78566,53.81485",50.04619333,43.20017,NA,dog,adrenal,GSE125483
42,ENSCAFG00000001019,+,UBE2B,chr11,22533620,22533710,22538155,22538244,5.90E-07,"0.181,0.217,0.002","0.096,0.003",MXE,53.924484,75.78566,49.335846,46.87825,53.81485,"53.924484,49.335846,46.87825","75.78566,53.81485",50.04619333,43.20017,NA,dog,adrenal,GSE125483
43,ENSCAFG00000001050,-,MTSS1,chr13,22638642,22638837,NA,NA,0.000574645,"1.0,0.877,0.862","1.0,1.0",SE,8.051554884,3.76529246,8.360223536,7.330850079,9.639989159,"8.05155488372093,8.36022353571428,7.33085007931894","3.76529246013289,9.63998915905316",7.9142095,4.468427206,NA,dog,adrenal,GSE125483
44,ENSCAFG00000001139,+,ST13,chr10,24404733,24404836,NA,NA,0.000950409,"0.997,0.98,0.985","0.983,0.967",SE,125.56778,159.612839,108.036461,167.200684,142.913635,"125.56778,108.036461,167.200684","159.612839,142.913635",133.6016417,100.842158,NA,dog,adrenal,GSE125483
45,ENSCAFG00000001146,+,PKD2L2,chr11,25605238,25605467,NA,NA,1.45E-06,"1.0,1.0,1.0","1.0,0.0",SE,0.253675683,0.460636079,0.458871116,0.622810453,0.527127799,"0.253675683003128,0.458871115745568,0.622810453076121","0.460636079249218,0.527127799270073",0.445119084,0.329254626,NA,dog,adrenal,GSE125483
46,ENSCAFG00000001172,-,SGSM3,chr10,24764034,24764180,NA,NA,0.000620663,"1.0,1.0,0.896","1.0,1.0",SE,6.665411,5.144435,7.847478,9.499182,8.624861,"6.665411,7.847478,9.499182","5.144435,8.624861",8.004023667,4.589765333,NA,dog,adrenal,GSE125483
47,ENSCAFG00000001216,+,SLC35D2,chr1,70507982,70508050,NA,NA,0.000109047,"1.0,1.0,1.0","1.0,0.814",SE,1.714234758,0.953317301,1.154236844,0.630534266,1.426582588,"1.71423475817724,1.15423684428292,0.630534266424378","0.953317300531171,1.42658258848197",1.16633529,0.793299963,NA,dog,adrenal,GSE125483
48,ENSCAFG00000001255,-,TNRC6B,chr10,24997758,24997826,25023505,25023596,0.000471571,"1.0,0.462,0.673","0.0,0.135",MXE,3.48188863,4.615250353,3.50509944,3.598677696,3.460195837,"3.48188863022677,3.50509943990038,3.59867769615939","4.61525035312623,3.46019583706908",3.528555255,2.691815397,NA,dog,adrenal,GSE125483
49,ENSCAFG00000001297,+,RHPN1,chr13,37088418,37088693,NA,NA,1.17E-09,"0.459,0.411,0.002","0.025,0.002",RI,7.047506007,1.812741956,4.630778109,2.40637399,3.574199796,"7.04750600665323,4.63077810927419,2.40637399032258","1.81274195625,3.57419979576613",4.694886035,1.795647251,NA,dog,adrenal,GSE125483
50,ENSCAFG00000001304,+,ZNF76,chr12,4458142,4458508,NA,NA,7.41E-06,"0.328,0.274,0.016","0.14,0.015",A3SS,16.59992868,8.183325936,12.80198691,10.73101326,12.53285261,"16.5999286823362,12.8019869128205,10.7310132603989","8.18332593646724,12.5328526082621",13.37764295,6.905392848,NA,dog,adrenal,GSE125483
51,ENSCAFG00000001312,+,CHCHD3,chr14,4408625,4408640,NA,NA,0.000261408,"0.0,0.079,0.017","0.0,0.061",SE,37.87416008,69.10915039,44.61181142,39.67401146,55.06085798,"37.874160082922,44.6118114180652,39.6740114649556","69.1091503889437,55.0608579753208",40.71999432,41.39000279,NA,dog,adrenal,GSE125483
52,ENSCAFG00000001372,-,SCRIB,chr13,37357189,37357294,NA,NA,0.001126766,"1.0,1.0,1.0","1.0,0.421",RI,29.01043409,6.609994145,23.393397,13.4768021,19.17414059,"29.0104340901703,23.3933969978715,13.4768020981037","6.60999414454334,19.1741405857198",21.96021106,8.594711577,NA,dog,adrenal,GSE125483
53,ENSCAFG00000001400,-,PUF60,chr13,37383527,37383614,NA,NA,8.39E-05,"0.933,0.92,0.872","1.0,0.957",SE,75.31309951,63.34686894,70.45483458,70.64031004,75.34232983,"75.3130995106132,70.4548345821541,70.6403100404874","63.3468689378931,75.3423298333333",72.13608138,46.22973292,NA,dog,adrenal,GSE125483
54,ENSCAFG00000001400,-,PUF60,chr13,37383527,37383617,NA,NA,8.91E-05,"0.943,0.943,0.896","1.0,0.966",SE,75.31309951,63.34686894,70.45483458,70.64031004,75.34232983,"75.3130995106132,70.4548345821541,70.6403100404874","63.3468689378931,75.3423298333333",72.13608138,46.22973292,NA,dog,adrenal,GSE125483
55,ENSCAFG00000001404,+,C1H9orf64,chr1,75533190,75533386,NA,NA,9.03E-07,"0.917,0.981,0.969","0.945,0.89",SE,40.143562,64.903946,47.185322,52.829021,50.678139,"40.143562,47.185322,52.829021","64.903946,50.678139",46.71930167,38.52736167,NA,dog,adrenal,GSE125483
56,ENSCAFG00000001425,+,GKAP1,chr1,75692006,75692029,75710263,75710413,2.05E-06,"0.779,0.856,1.0","0.911,1.0",MXE,9.763414574,12.41034388,17.89954732,9.971939398,10.59959081,"9.76341457391304,17.899547321118,9.97193939751553","12.4103438838509,10.5995908055901",12.5449671,7.66997823,NA,dog,adrenal,GSE125483
57,ENSCAFG00000001431,-,PICK1,chr10,26599620,26599754,NA,NA,0.000864663,"0.901,1.0,0.94","0.962,0.99",SE,21.067791,17.986551,14.269856,24.809084,18.362976,"21.067791,14.269856,24.809084","17.986551,18.362976",20.04891033,12.116509,NA,dog,adrenal,GSE125483
58,ENSCAFG00000001520,-,NFIB,chr11,34606533,34606699,NA,NA,0.001039309,"1.0,1.0,0.814","1.0,1.0",SE,8.76342443,6.879728193,8.097662639,7.254117876,7.1204207,"8.76342443006113,8.09766263933837,7.25411787558432","6.87972819345559,7.12042070010787",8.038401648,4.666716298,NA,dog,adrenal,GSE125483
59,ENSCAFG00000001526,+,IFT27,chr10,27697391,27697451,NA,NA,1.77E-05,"0.874,0.83,0.956","1.0,0.974",SE,26.37000679,15.62506683,21.08144789,18.05725142,23.07727648,"26.370006788528,21.0814478887353,18.0572514194886","15.6250668258466,23.0772764768487",21.83623537,12.9007811,NA,dog,adrenal,GSE125483
60,ENSCAFG00000001566,+,CNTLN,chr11,37376678,37376779,NA,NA,3.97E-05,"1.0,1.0,1.0","0.852,0.884",SE,4.481962878,6.515192955,4.869233527,5.238828553,4.38943066,"4.48196287809417,4.86923352670761,5.23882855294993","6.51519295533222,4.38943066015262",4.863341653,3.634874538,NA,dog,adrenal,GSE125483
61,ENSCAFG00000001578,-,OARD1,chr12,9825223,9825282,NA,NA,3.87E-09,"1.0,0.856,0.893","0.94,1.0",SE,37.59705493,49.29953231,43.36664744,46.75359076,57.24574007,"37.5970549273286,43.3666474370522,46.7535907584442","49.299532308086,57.2457400655067",42.57243104,35.51509079,NA,dog,adrenal,GSE125483
62,ENSCAFG00000001578,-,OARD1,chr12,9824053,9824166,NA,NA,4.26E-09,"1.0,0.834,0.952","0.946,1.0",SE,37.59705493,49.29953231,43.36664744,46.75359076,57.24574007,"37.5970549273286,43.3666474370522,46.7535907584442","49.299532308086,57.2457400655067",42.57243104,35.51509079,NA,dog,adrenal,GSE125483
63,ENSCAFG00000001690,-,PCSK5,chr1,82121758,82121995,NA,NA,3.63E-05,"1.0,1.0,1.0","1.0,0.495",SE,2.093293862,2.696072939,2.225158314,4.519637014,3.78686463,"2.09329386183465,2.22515831435043,4.51963701359003","2.69607293900663,3.78686462999515",2.94602973,2.16097919,NA,dog,adrenal,GSE125483
64,ENSCAFG00000001702,+,NMRK1,chr1,83150072,83150171,NA,NA,0.000129623,"0.048,0.021,0.036","0.0,0.001",SE,6.394968176,7.856753929,10.33059034,7.377707302,10.50504964,"6.39496817577197,10.3305903372922,7.37770730166271","7.85675392874109,10.5050496437055",8.034421938,6.120601191,NA,dog,adrenal,GSE125483
65,ENSCAFG00000001781,-,WFS1,chr13,38463281,38463477,NA,NA,0.001150911,"0.401,0.214,0.027","0.151,0.036",SE,10.33803867,21.64353711,6.854547727,87.32355574,46.28792901,"10.3380386674891,6.85454772689315,87.3235557424559","21.643537110837,46.2879290129057",34.83871405,22.64382204,NA,dog,adrenal,GSE125483
66,ENSCAFG00000001781,-,WFS1,chr13,38459844,38460198,NA,NA,9.70E-05,"0.604,0.436,0.03","0.167,0.018",SE,10.33803867,21.64353711,6.854547727,87.32355574,46.28792901,"10.3380386674891,6.85454772689315,87.3235557424559","21.643537110837,46.2879290129057",34.83871405,22.64382204,NA,dog,adrenal,GSE125483
67,ENSCAFG00000001827,+,CROT,chr14,13527585,13527705,NA,NA,2.98E-06,"1.0,1.0,1.0","0.944,0.945",SE,6.845537832,21.29778392,10.99320481,13.71214829,15.44770688,"6.8455378322237,10.9932048069241,13.7121482885042","21.2977839209942,15.4477068801598",10.51696364,12.24849693,NA,dog,adrenal,GSE125483
68,ENSCAFG00000001834,+,CUL9,chr12,11694992,11695182,NA,NA,0.000412101,"1.0,1.0,0.976","1.0,0.92",SE,14.391906,11.09049,12.350807,8.793732594,11.78257294,"14.391906,12.350807,8.7937325940902","11.09049,11.7825729432348",11.84548186,7.624354314,NA,dog,adrenal,GSE125483
69,ENSCAFG00000001852,+,ADAM22,chr14,14211563,14211614,NA,NA,0.00010595,"1.0,1.0,0.965","0.946,0.889",SE,7.605048678,9.282512119,7.565579083,6.842720731,12.95043094,"7.60504867820069,7.56557908333333,6.84272073125721","9.28251211937716,12.9504309437716",7.337782831,7.410981021,NA,dog,adrenal,GSE125483
70,ENSCAFG00000001853,+,ABCC10,chr12,11916877,11917131,NA,NA,0.000136598,"0.97,0.987,1.0","1.0,0.865",SE,13.594236,7.333455,10.866589,4.762206,9.504116,"13.594236,10.866589,4.762206","7.333455,9.504116",9.741010333,5.612523667,NA,dog,adrenal,GSE125483
71,ENSCAFG00000001902,-,TJP2,chr1,88129695,88129803,NA,NA,4.54E-07,"1.0,1.0,0.665","0.704,0.392",RI,4.079580571,2.359264896,2.979964424,1.427755881,2.5014621,"4.07958057058592,2.97996442390877,1.42775588143924","2.35926489638223,2.50146210047188",2.829100292,1.620242332,NA,dog,adrenal,GSE125483
72,ENSCAFG00000001938,+,VEGFA,chr12,12219030,12219102,NA,NA,0.000725664,"0.154,0.13,0.129","0.092,0.099",SE,168.5020961,71.67667356,137.5859568,98.11024757,125.4152743,"168.502096064159,137.585956813883,98.1102475685841","71.6766735613938,125.415274261338",134.7327668,65.69731594,NA,dog,adrenal,GSE125483
73,ENSCAFG00000001938,+,VEGFA,chr12,12219030,12219102,NA,NA,0.000498512,"0.088,0.087,0.063","0.072,0.041",SE,168.5020961,71.67667356,137.5859568,98.11024757,125.4152743,"168.502096064159,137.585956813883,98.1102475685841","71.6766735613938,125.415274261338",134.7327668,65.69731594,NA,dog,adrenal,GSE125483
74,ENSCAFG00000001943,-,NA,chr1,89113230,89113322,NA,NA,9.49E-08,"1.0,1.0,0.719","1.0,1.0",SE,14.44982164,28.32246194,19.92020013,24.33339489,19.8035003,"14.4498216350839,19.9202001326475,24.3333948895506","28.3224619388197,19.8035003048186",19.56780555,16.04198741,NA,dog,adrenal,GSE125483
75,ENSCAFG00000001943,-,NA,chr1,89114428,89114525,89117063,89117150,9.82E-05,"0.77,0.753,0.905","0.779,0.992",MXE,14.44982164,28.32246194,19.92020013,24.33339489,19.8035003,"14.4498216350839,19.9202001326475,24.3333948895506","28.3224619388197,19.8035003048186",19.56780555,16.04198741,NA,dog,adrenal,GSE125483
76,ENSCAFG00000001952,+,SEPTIN10,chr10,34297344,34297477,NA,NA,1.31E-07,"1.0,1.0,1.0","1.0,0.885",SE,11.0839117,17.23425263,11.92623302,11.80207846,11.78094654,"11.083911697446,11.9262330180747,11.8020784557957","17.234252627112,11.7809465355599",11.60407439,9.671733054,NA,dog,adrenal,GSE125483
77,ENSCAFG00000002002,-,SUPT3H,chr12,13520471,13520511,13622633,13622722,2.08E-05,"1.0,0.581,1.0","0.0,0.581",MXE,13.32221432,9.540483905,10.70265112,7.563140925,8.67026638,"13.3222143222506,10.7026511202046,7.56314092519182","9.54048390537085,8.67026638043478",10.52933546,6.070250095,NA,dog,adrenal,GSE125483
78,ENSCAFG00000002013,+,SMARCA2,chr1,90843580,90843676,NA,NA,0.00064415,"0.86,1.0,0.869","1.0,1.0",SE,17.05232592,19.85143046,14.98105218,11.27382127,19.53822317,"17.0523259213525,14.9810521772838,11.273821265085","19.8514304554455,19.5382231746684",14.43573312,13.12988454,NA,dog,adrenal,GSE125483
79,ENSCAFG00000002030,+,NA,chr11,51786437,51786511,51792032,51792090,1.28E-05,"1.0,1.0,0.989","1.0,0.853",MXE,2.197662588,2.775467528,3.083335435,2.369559124,3.424489647,"2.19766258767525,3.08333543495272,2.36955912363873","2.77546752813825,3.42448964701663",2.550185715,2.066652392,NA,dog,adrenal,GSE125483
80,ENSCAFG00000002086,-,TPM2,chr11,52215541,52215617,NA,NA,5.33E-06,"0.963,0.902,0.867","0.867,0.813",SE,160.3454787,100.4267695,104.6701321,99.85321228,104.7371353,"160.345478742543,104.67013210989,99.853212277865","100.426769463108,104.737135282575",121.622941,68.38796825,NA,dog,adrenal,GSE125483
81,ENSCAFG00000002174,-,GADD45G,chr1,96745636,96745726,NA,NA,0.000179857,"0.142,0.092,0.0","0.0,0.0",RI,4.309231079,1.072313045,6.532995064,3.522822084,9.571742228,"4.30923107920792,6.53299506435644,3.52282208415842","1.07231304455446,9.57174222772277",4.788349409,3.548018424,NA,dog,adrenal,GSE125483
82,ENSCAFG00000002188,-,SECISBP2,chr1,96913430,96913553,NA,NA,0.000114348,"1.0,1.0,0.977","0.961,0.927",SE,19.29115973,15.55894665,15.61776626,38.98183016,23.80367797,"19.2911597295506,15.6177662642369,38.9818301565542","15.5589466454753,23.8036779662456",24.63025205,13.12087487,NA,dog,adrenal,GSE125483
