"","id","strand","symbol.x","chr.x","as_site1","as_site2","as_site3","as_site4","as_pvalue","fdr","IncLevel1","IncLevel2","as_type","chr.y","symbol.y","FPKM.SRR8474231","FPKM.SRR8474260","FPKM.SRR8474271","FPKM.SRR8474282","FPKM.SRR8474293","..files.colon_mean_female","..files.colon_mean_male","Remark","Organism","Tissue","GEO_accession"
"16","ENSCAFG00000000079","-","RELCH","chr1",14598755,14598838,NA,NA,3.50040734176e-08,3.12229403385e-06,"0.0,0.234,0.048","0.497,0.381","SE","1","RELCH",6.29099310124935,7.2773075096304,11.9671763079125,6.635087717595,7.93742441332639,6.73446277615825,6.63486690707963,NA,"dog","colon","GSE125483"
"17","ENSCAFG00000000079","-","RELCH","chr1",14599328,14599411,NA,NA,4.79783093268e-05,0.00156418548393,"1.0,0.891,0.918","0.793,0.632","SE","1","RELCH",6.29099310124935,7.2773075096304,11.9671763079125,6.635087717595,7.93742441332639,6.73446277615825,6.63486690707963,NA,"dog","colon","GSE125483"
"18","ENSCAFG00000000083","+","PIGN","chr1",14767711,14767762,NA,NA,0.000795893020859,0.013806547288,"0.875,0.979,1.0","0.955,0.83","SE","1","PIGN",1.6421744341629,3.22857714570136,7.11250362895928,1.47934047963801,5.17969937647059,2.11669735316742,4.09740100180996,NA,"dog","colon","GSE125483"
"19","ENSCAFG00000000088","+","SUOX","chr10",328326,328446,NA,NA,0.000152152209795,0.00389783675273,"0.01,0.014,0.022","0.049,0.049","SE","10","SUOX",27.0798416261128,34.47316215727,31.5718604896142,28.4047221483679,30.5038279020772,29.9859086439169,20.6918961305638,NA,"dog","colon","GSE125483"
"20","ENSCAFG00000000103","-","ZNF532","chr1",17191392,17191569,NA,NA,7.29667876963e-05,0.00218876067821,"0.944,0.939,0.982","0.992,1.0","SE","1","ZNF532",27.7159577426645,33.1099693065028,27.8692026990484,30.0960268197859,12.3727074133624,30.3073179563177,13.4139700374703,NA,"dog","colon","GSE125483"
"21","ENSCAFG00000000103","-","ZNF532","chr1",17184822,17184985,NA,NA,0.00102042378072,0.0165440872955,"0.981,0.342,0.98","1.0,1.0","SE","1","ZNF532",27.7159577426645,33.1099693065028,27.8692026990484,30.0960268197859,12.3727074133624,30.3073179563177,13.4139700374703,NA,"dog","colon","GSE125483"
"22","ENSCAFG00000000103","-","ZNF532","chr1",17191392,17191569,NA,NA,0.00190575323034,0.0268964974185,"0.988,0.922,0.987","1.0,1.0","SE","1","ZNF532",27.7159577426645,33.1099693065028,27.8692026990484,30.0960268197859,12.3727074133624,30.3073179563177,13.4139700374703,NA,"dog","colon","GSE125483"
"23","ENSCAFG00000000103","-","ZNF532","chr1",17184822,17184985,17195705,17195887,0.00210289215136,0.0232400161694,"0.549,0.988,0.553","0.557,0.531","MXE","1","ZNF532",27.7159577426645,33.1099693065028,27.8692026990484,30.0960268197859,12.3727074133624,30.3073179563177,13.4139700374703,NA,"dog","colon","GSE125483"
"24","ENSCAFG00000000103","-","ZNF532","chr1",17195705,17195887,17208615,17210978,0.005867836608,0.0493817936005,"0.475,0.057,0.44","0.526,0.448","MXE","1","ZNF532",27.7159577426645,33.1099693065028,27.8692026990484,30.0960268197859,12.3727074133624,30.3073179563177,13.4139700374703,NA,"dog","colon","GSE125483"
"25","ENSCAFG00000000103","-","ZNF532","chr1",17191392,17191569,17208615,17210978,0.00164975161056,0.0195438200388,"0.407,0.044,0.383","0.442,0.401","MXE","1","ZNF532",27.7159577426645,33.1099693065028,27.8692026990484,30.0960268197859,12.3727074133624,30.3073179563177,13.4139700374703,NA,"dog","colon","GSE125483"
"26","ENSCAFG00000000103","-","ZNF532","chr1",17195705,17195887,NA,NA,1.02816864301e-05,0.00042620113366,"0.871,0.932,0.946","0.98,1.0","SE","1","ZNF532",27.7159577426645,33.1099693065028,27.8692026990484,30.0960268197859,12.3727074133624,30.3073179563177,13.4139700374703,NA,"dog","colon","GSE125483"
"27","ENSCAFG00000000105","-","MALT1","chr1",17381830,17381863,NA,NA,0.00311492715101,0.0396281213496,"1.0,0.959,1.0","1.0,0.237","SE","1","MALT1",4.592377,5.33695392382564,6.249982,5.221748,3.18432157173085,5.05035964127521,3.14476785724362,NA,"dog","colon","GSE125483"
"28","ENSCAFG00000000109","-","SMARCC2","chr10",482909,483185,NA,NA,7.74157753347e-07,9.4536571803e-06,"0.917,0.567,0.874","0.984,0.985","RI","10","SMARCC2",41.994873758356,33.5312273981183,36.6334572121812,36.1935770616489,17.7477801965833,37.2398927393744,18.1270791362548,NA,"dog","colon","GSE125483"
"29","ENSCAFG00000000109","-","SMARCC2","chr10",482843,482909,NA,NA,1.97998684115e-09,2.50061235307e-07,"0.174,0.325,0.168","0.533,0.75","SE","10","SMARCC2",41.994873758356,33.5312273981183,36.6334572121812,36.1935770616489,17.7477801965833,37.2398927393744,18.1270791362548,NA,"dog","colon","GSE125483"
"30","ENSCAFG00000000109","-","SMARCC2","chr10",483185,482843,NA,NA,1.14352971536e-14,6.40376640602e-13,"0.22,0.177,0.178","0.545,0.755","A5SS","10","SMARCC2",41.994873758356,33.5312273981183,36.6334572121812,36.1935770616489,17.7477801965833,37.2398927393744,18.1270791362548,NA,"dog","colon","GSE125483"
"31","ENSCAFG00000000116","-","NEDD4L","chr1",17675981,17676059,17681515,17681713,0.000706815104415,0.010062439815,"0.477,0.002,0.421","0.467,0.419","MXE","1","NEDD4L",9.143078454999,15.0797329632808,20.3564065593694,11.6385824294552,24.8969771841948,11.953797949245,15.0844612478547,NA,"dog","colon","GSE125483"
"32","ENSCAFG00000000116","-","NEDD4L","chr1",17681515,17681713,NA,NA,2.24502313027e-05,0.000827779538087,"1.0,0.82,0.983","0.976,1.0","SE","1","NEDD4L",9.143078454999,15.0797329632808,20.3564065593694,11.6385824294552,24.8969771841948,11.953797949245,15.0844612478547,NA,"dog","colon","GSE125483"
"33","ENSCAFG00000000116","-","NEDD4L","chr1",17688559,17688619,NA,NA,0,0,"0.045,0.435,0.219","0.85,0.932","SE","1","NEDD4L",9.143078454999,15.0797329632808,20.3564065593694,11.6385824294552,24.8969771841948,11.953797949245,15.0844612478547,NA,"dog","colon","GSE125483"
"34","ENSCAFG00000000137","+","TXNL1","chr1",19173346,19173501,NA,NA,0.00226134260907,0.0309454717445,"1.0,0.041,1.0","1.0,1.0","SE","1","TXNL1",38.5058173517615,40.9676596249322,39.6182447555556,37.1990102764228,40.7023384395664,38.8908290843722,26.7735277317073,NA,"dog","colon","GSE125483"
"35","ENSCAFG00000000142","-",NA,"chr10",974810,974968,NA,NA,7.96817950584e-05,0.00234082595113,"0.966,0.827,0.906","1.0,1.0","SE","10","ENSCAFG00000000142",7.740198,5.412737,7.071871,5.399511,4.037498,6.18414866666667,3.703123,NA,"dog","colon","GSE125483"
"36","ENSCAFG00000000149","+","STARD6","chr1",21137943,21138037,NA,NA,0.000463146958069,0.00916952912649,"0.676,0.906,0.926","1.0,1.0","SE","1","STARD6",14.686581,8.742454,8.131952,16.203743,3.58319,13.210926,3.90504733333333,NA,"dog","colon","GSE125483"
"37","ENSCAFG00000000163","-","STAT6","chr10",1245746,1246052,NA,NA,3.26042660734e-05,0.00113432651231,"0.872,0.51,0.615","0.898,1.0","SE","10","STAT6",43.3118378490893,36.1024017953166,42.8476831656548,34.1410963590633,18.6638245706852,37.8517786678231,20.5038359121133,NA,"dog","colon","GSE125483"
"38","ENSCAFG00000000167","+","DMXL1","chr11",8548032,8548083,NA,NA,0.000837180311373,0.0143024477089,"0.0,0.02,0.0","0.021,0.091","SE","11","DMXL1",2.17175054572428,3.2073245782558,3.95879573794638,2.35145134046837,3.22217655642683,2.57684215481615,2.39365743145774,NA,"dog","colon","GSE125483"
"39","ENSCAFG00000000168","-","ME2","chr1",24014313,24014389,NA,NA,1.71819225514e-11,3.22483208887e-09,"0.885,0.945,0.939","0.992,0.983","SE","1","ME2",36.368713,67.070122,215.298889,51.135468,231.963501,51.5247676666667,149.087463333333,NA,"dog","colon","GSE125483"
"40","ENSCAFG00000000185","-","STX7","chr1",25562248,25562404,NA,NA,3.421909471e-05,0.00117514545455,"0.024,0.0,0.017","0.019,0.038","SE","1","STX7",13.0238322531365,13.5738791354244,16.1117296612546,14.4791509420664,10.2502232487085,13.6922874435424,8.78731763665437,NA,"dog","colon","GSE125483"
"41","ENSCAFG00000000189","-","SLC18B1","chr1",25806429,25806566,25813835,25813983,0.00316353387745,0.0311933280531,"0.644,0.983,0.649","0.562,0.655","MXE","1","SLC18B1",15.2223685444283,13.9787892130371,20.5113832181355,12.9174080593591,11.3381883164603,14.0395219389415,10.6165238448653,NA,"dog","colon","GSE125483"
"42","ENSCAFG00000000189","-","SLC18B1","chr1",25810674,25810831,NA,NA,5.35734689944e-09,6.10031237348e-07,"0.3,0.362,0.314","0.7,0.638","SE","1","SLC18B1",15.2223685444283,13.9787892130371,20.5113832181355,12.9174080593591,11.3381883164603,14.0395219389415,10.6165238448653,NA,"dog","colon","GSE125483"
"43","ENSCAFG00000000189","-","SLC18B1","chr1",25804685,25804787,25806429,25806566,0.00020153547472,0.00379606219259,"0.287,0.193,0.33","0.429,0.376","MXE","1","SLC18B1",15.2223685444283,13.9787892130371,20.5113832181355,12.9174080593591,11.3381883164603,14.0395219389415,10.6165238448653,NA,"dog","colon","GSE125483"
"44","ENSCAFG00000000189","-","SLC18B1","chr1",25820545,25820685,NA,NA,5.13051361395e-08,4.40198068077e-06,"0.021,0.093,0.105","0.32,0.479","SE","1","SLC18B1",15.2223685444283,13.9787892130371,20.5113832181355,12.9174080593591,11.3381883164603,14.0395219389415,10.6165238448653,NA,"dog","colon","GSE125483"
"45","ENSCAFG00000000192","-","SEMA6A","chr11",6139892,6140057,NA,NA,0.00173285604991,0.0249249071107,"1.0,0.616,0.86","0.561,0.317","SE","11","SEMA6A",4.42309973767442,4.85896499782946,7.93440430263566,2.19213248155039,9.67186439255814,3.82473240568476,5.86875623173127,NA,"dog","colon","GSE125483"
"46","ENSCAFG00000000203","+","AP3S1","chr11",5571330,5571442,5589023,5589095,2.27176951335e-05,0.000697052260618,"0.219,0.056,0.343","0.38,0.374","MXE","11","AP3S1",25.576770863061,31.9980024741082,33.0346875627158,30.246954579977,46.8456918411968,29.2739093057154,26.6267931346375,NA,"dog","colon","GSE125483"
"47","ENSCAFG00000000212","-","SLC2A12","chr1",26954975,26955098,26973967,26975299,0.00552083208805,0.0473488029774,"0.514,0.117,0.479","0.553,0.7","MXE","1","SLC2A12",7.0611436473323,5.8295981567412,3.28710146889528,6.0609795047598,0.740770015275625,6.31724043627777,1.34262382805697,NA,"dog","colon","GSE125483"
"48","ENSCAFG00000000215","-",NA,"chr10",1395470,1395572,NA,NA,0.000207675215666,0.00497151289088,"0.157,0.124,0.069","0.083,0.006","SE","10","ENSCAFG00000000215",9.26075705536175,8.45351223813135,12.9916993955711,11.8630731378735,6.14099041119369,9.85911414378887,6.3775632689216,NA,"dog","colon","GSE125483"
"49","ENSCAFG00000000217","-","SGK1","chr1",27094960,27095927,NA,NA,0.00285465951276,0.0370393099622,"1.0,0.039,1.0","1.0,1.0","SE","1","SGK1",2.37964073629783,3.78550002930024,7.63103533643571,8.99628033746984,12.3923238310927,5.05380703435597,6.6744530558428,NA,"dog","colon","GSE125483"
"50","ENSCAFG00000000226","-","HBS1L","chr1",27776534,27776753,NA,NA,4.62604507701e-07,3.01272579027e-05,"0.115,0.056,0.123","0.281,0.161","SE","1","HBS1L",15.4690764795025,14.2090969235375,18.5343184129433,16.4513142445877,12.1990820771534,15.3764958825426,10.2444668300322,NA,"dog","colon","GSE125483"
"51","ENSCAFG00000000230","+","MYB","chr1",27923618,27923981,NA,NA,3.50235301683e-06,0.000170248372277,"0.153,0.112,0.212","0.47,0.267","SE","1","MYB",2.0776723923445,9.18700694907724,21.0303420379357,2.12033418557758,9.85167193574846,4.46167117566644,10.2940046578947,NA,"dog","colon","GSE125483"
"52","ENSCAFG00000000234","-","AHI1","chr1",28044833,28044996,NA,NA,0.00168754848335,0.0244030887424,"1.0,0.939,0.984","0.708,0.902","SE","1","AHI1",4.21188825840643,4.7588750063962,3.82027928545322,5.59498870614035,1.87478308296784,4.85525065698099,1.89835412280702,NA,"dog","colon","GSE125483"
"53","ENSCAFG00000000240","+","NHP2","chr11",3391975,3392081,NA,NA,6.48829969641e-07,4.0127980754e-05,"0.898,0.91,0.898","0.971,0.968","SE","11","NHP2",11.9310592319801,15.4359802510356,14.8990043355427,13.279163026512,14.7612726611433,13.5487341698426,9.88675899889533,NA,"dog","colon","GSE125483"
"54","ENSCAFG00000000250","+","ARHGEF25","chr10",1687918,1688033,1690638,1690734,0.00156446706974,0.0188040567506,"0.274,0.353,0.32","0.218,0.186","MXE","10","ARHGEF25",64.7538983116661,39.4093344334588,15.8596535624359,62.4587057700992,3.45089085118029,55.5406461717414,6.43684813787206,NA,"dog","colon","GSE125483"
"55","ENSCAFG00000000250","+","ARHGEF25","chr10",1692838,1693039,1693183,1693364,0.000150646623391,0.00311371308036,"0.348,0.014,0.313","0.379,0.319","MXE","10","ARHGEF25",64.7538983116661,39.4093344334588,15.8596535624359,62.4587057700992,3.45089085118029,55.5406461717414,6.43684813787206,NA,"dog","colon","GSE125483"
"56","ENSCAFG00000000253","+","PEX7","chr1",29353054,29353163,NA,NA,0.00107990152856,0.0173110905174,"0.863,1.0,0.709","0.934,1.0","SE","1","PEX7",13.2853152339268,13.9609562537092,23.5279991859545,13.3176099436202,24.2497355331355,13.5212938104187,15.92591157303,NA,"dog","colon","GSE125483"
"57","ENSCAFG00000000259","+","OS9","chr10",1786273,1786438,NA,NA,0.000761774456044,0.0133345066214,"0.654,0.463,0.58","0.706,0.704","SE","10","OS9",36.0986032266411,40.2430957412554,55.8027395936751,30.8721322491615,42.7038533497844,35.7379437390193,32.8355309811532,NA,"dog","colon","GSE125483"
"58","ENSCAFG00000000273","-","AGAP2","chr10",1800801,1800860,NA,NA,0.00358649586549,0.044304030417,"0.0,0.741,1.0","1.0,1.0","SE","10","AGAP2",1.993384,1.389338,4.009504,1.245768,2.699809,1.54283,2.23643766666667,NA,"dog","colon","GSE125483"
"59","ENSCAFG00000000278","+","TSPAN31","chr10",1811512,1811644,NA,NA,0.00176621055113,0.025243454556,"0.939,0.964,0.909","1.0,0.969","SE","10","TSPAN31",28.429671227882,29.0832447944593,26.3173636443253,26.5652529660411,24.7782089705094,28.0260563294608,17.0318575382782,NA,"dog","colon","GSE125483"
"60","ENSCAFG00000000312","+","PHACTR2","chr1",35294459,35294699,NA,NA,3.4129366e-12,7.37931499906e-10,"0.151,0.166,0.17","0.477,0.58","SE","1","PHACTR2",3.33061215737564,5.16763117238422,8.0590714686964,4.06970779888508,9.52479670240137,4.18931704288165,5.86128939036592,NA,"dog","colon","GSE125483"
"61","ENSCAFG00000000318","-","PLAGL1","chr1",35423515,35423706,NA,NA,2.89602930303e-07,1.98657319728e-05,"0.119,0.013,0.129","1.0,0.482","SE","1","PLAGL1",3.06740943126888,2.80191511669184,3.53809768240181,3.46072422960725,2.74026331457704,3.11001625918932,2.09278699899295,NA,"dog","colon","GSE125483"
"62","ENSCAFG00000000326","+","UTRN","chr1",36199524,36199563,36199788,36199854,8.87175790977e-05,0.00203844111973,"0.343,0.361,0.305","0.24,0.117","MXE","1","UTRN",10.2113132896914,12.5196563973139,10.7211627370809,9.17496887476652,4.99459697785289,10.6353128539239,5.2385865716446,NA,"dog","colon","GSE125483"
"63","ENSCAFG00000000326","+","UTRN","chr1",36199524,36199563,NA,NA,7.22068427272e-09,7.65307583682e-07,"0.96,0.937,0.995","0.848,0.765","SE","1","UTRN",10.2113132896914,12.5196563973139,10.7211627370809,9.17496887476652,4.99459697785289,10.6353128539239,5.2385865716446,NA,"dog","colon","GSE125483"
"64","ENSCAFG00000000336","+","HNRNPH1","chr11",2054835,2054974,NA,NA,0.0034924832821,0.0434182822748,"0.745,0.754,0.788","0.846,0.798","SE","11","HNRNPH1",162.068992650787,160.041078410936,180.322908074565,158.234715843828,117.220078527755,160.114928968517,99.1809955341067,NA,"dog","colon","GSE125483"
"65","ENSCAFG00000000336","+","HNRNPH1","chr11",2057142,2057232,2057293,2057353,5.7297206979e-09,7.07620506191e-07,"0.882,0.884,0.929","0.961,0.959","MXE","11","HNRNPH1",162.068992650787,160.041078410936,180.322908074565,158.234715843828,117.220078527755,160.114928968517,99.1809955341067,NA,"dog","colon","GSE125483"
"66","ENSCAFG00000000336","+","HNRNPH1","chr11",2057142,2057232,2057293,2057383,4.85192830646e-06,0.000217895689399,"0.3,0.335,0.327","0.53,0.422","MXE","11","HNRNPH1",162.068992650787,160.041078410936,180.322908074565,158.234715843828,117.220078527755,160.114928968517,99.1809955341067,NA,"dog","colon","GSE125483"
"67","ENSCAFG00000000344","-","RUFY1","chr11",2067789,2067884,2069687,2069817,0.00133510468942,0.0167822319739,"0.289,0.0,0.38","0.307,0.405","MXE","11","RUFY1",10.17309644,9.21871737860465,10.8219142874419,9.28083493488372,6.62131216,9.55754958449612,5.81440881581397,NA,"dog","colon","GSE125483"
"68","ENSCAFG00000000353","+","STXBP5","chr1",38391005,38391065,NA,NA,0.000101442004227,0.00280626595254,"0.289,0.105,0.165","0.381,0.567","SE","1","STXBP5",6.2667300945946,8.64431484932432,13.7869940581081,5.50657831081081,12.9960110864865,6.80587441824324,8.92766838153153,NA,"dog","colon","GSE125483"
"69","ENSCAFG00000000366","+","SASH1","chr1",39404435,39404489,NA,NA,7.63620188837e-06,0.000336129688008,"0.0,0.06,0.0","0.134,0.261","SE","1","SASH1",7.47388820507463,7.91643143731343,14.3425554216418,6.21937543970149,14.5787925125373,7.20323169402985,9.64044931139303,NA,"dog","colon","GSE125483"
"70","ENSCAFG00000000370","-",NA,"chr10",8653824,8653858,NA,NA,2.84505656811e-07,1.95657363528e-05,"0.799,0.822,0.773","0.876,0.891","SE","10","ENSCAFG00000000370",72.5274197022989,76.1412956873563,90.4532857034483,80.0050062045977,97.7014322482759,76.224573864751,62.7182393172414,NA,"dog","colon","GSE125483"
"71","ENSCAFG00000000372","+","UST","chr1",39817533,39817687,39870744,39870842,0.000995158824611,0.0132867151178,"0.396,0.013,0.4","0.525,0.454","MXE","1","UST",8.5051300947644,9.49359418691099,4.84388234554974,11.812502339267,2.3259495104712,9.93707554031413,2.38994395200698,NA,"dog","colon","GSE125483"
"72","ENSCAFG00000000372","+","UST","chr1",39872783,39872941,NA,NA,0.000955293478643,0.0157431200288,"0.967,0.819,0.982","1.0,1.0","SE","1","UST",8.5051300947644,9.49359418691099,4.84388234554974,11.812502339267,2.3259495104712,9.93707554031413,2.38994395200698,NA,"dog","colon","GSE125483"
"73","ENSCAFG00000000381","+","TBC1D9B","chr11",1826348,1826399,NA,NA,1.53869453845e-08,1.48522490324e-06,"0.398,0.224,0.486","0.153,0.048","SE","11","TBC1D9B",15.8728171438819,14.8606252544304,14.8987001303797,14.3486199244726,8.79915905864979,15.027354107595,7.89928639634316,NA,"dog","colon","GSE125483"
"74","ENSCAFG00000000407","+","DYRK2","chr10",9983573,9983996,NA,NA,0,0,"0.005,0.007,0.019","0.113,0.102","SE","10","DYRK2",14.9057767430516,22.2415108539421,17.1856644807147,16.3068145882019,10.7227885121951,17.8180340617319,9.30281766430327,NA,"dog","colon","GSE125483"
"75","ENSCAFG00000000412","-","MDM1","chr10",10535848,10535878,NA,NA,5.55518342205e-06,0.000254906523511,"0.652,0.523,0.82","0.0,0.273","SE","10","MDM1",3.71160334146341,4.89935563636364,8.2502189977827,5.1233135654102,5.67989718847007,4.57809084774575,4.64337206208426,NA,"dog","colon","GSE125483"
"76","ENSCAFG00000000416","+","C12H6orf136","chr12",458783,458872,NA,NA,0.00337092725498,0.0422142694578,"1.0,0.949,0.983","1.0,0.991","SE","12","C12H6orf136",54.268085,55.913486,96.043373,57.296383,78.016449,55.8259846666667,58.0199406666667,NA,"dog","colon","GSE125483"
"77","ENSCAFG00000000416","+","C12H6orf136","chr12",458783,458872,NA,NA,0.000863056656611,0.0146335482315,"0.813,0.831,0.876","0.88,0.915","SE","12","C12H6orf136",54.268085,55.913486,96.043373,57.296383,78.016449,55.8259846666667,58.0199406666667,NA,"dog","colon","GSE125483"
"78","ENSCAFG00000000416","+","C12H6orf136","chr12",458093,458489,NA,NA,7.07938509206e-05,0.00213781609925,"1.0,0.786,0.984","1.0,0.989","SE","12","C12H6orf136",54.268085,55.913486,96.043373,57.296383,78.016449,55.8259846666667,58.0199406666667,NA,"dog","colon","GSE125483"
"79","ENSCAFG00000000423","-","RMND1","chr1",41785513,41785622,NA,NA,0.00398403336107,0.0478349487559,"1.0,0.955,0.861","1.0,0.987","SE","1","RMND1",9.18076,9.629384,13.306131,9.627213,11.122641,9.479119,8.142924,NA,"dog","colon","GSE125483"
"80","ENSCAFG00000000423","-","RMND1","chr1",41779101,41779141,NA,NA,0.00112512571625,0.0178560027793,"1.0,0.91,0.953","1.0,0.984","SE","1","RMND1",9.18076,9.629384,13.306131,9.627213,11.122641,9.479119,8.142924,NA,"dog","colon","GSE125483"
"81","ENSCAFG00000000442","-","MDC1","chr12",498904,499087,499413,501420,0.00546178537726,0.0469238604585,"0.512,0.04,0.53","0.569,0.521","MXE","12","MDC1",17.365832332871,19.0554185852982,23.9932064576976,16.8654862413315,11.0449440957004,17.7622457198336,11.6793835177993,NA,"dog","colon","GSE125483"
"82","ENSCAFG00000000442","-","MDC1","chr12",499215,499335,499413,501420,0.00342707176097,0.0332431845588,"0.534,0.046,0.517","0.616,0.538","MXE","12","MDC1",17.365832332871,19.0554185852982,23.9932064576976,16.8654862413315,11.0449440957004,17.7622457198336,11.6793835177993,NA,"dog","colon","GSE125483"
"83","ENSCAFG00000000445","-","SYNE1","chr1",42407159,42407228,NA,NA,3.70149078055e-09,4.46607996991e-07,"1.0,0.942,1.0","0.851,0.578","SE","1","SYNE1",3.78585674515626,3.82289214817014,3.45759990297677,3.77039034852646,1.96142831816495,3.79304641395095,1.80634274038057,NA,"dog","colon","GSE125483"
"84","ENSCAFG00000000448","+","DDR1","chr12",666379,666490,NA,NA,0.000312590850448,0.00679131263268,"0.966,0.835,0.868","0.946,1.0","SE","12","DDR1",9.71228350788644,12.1046251911672,14.7160775470032,7.30726935394322,7.46728080757098,9.70805935099895,7.39445278485806,NA,"dog","colon","GSE125483"
"85","ENSCAFG00000000448","+","DDR1","chr12",663126,663373,NA,NA,1.94656091479e-06,0.000101367440933,"1.0,0.672,0.661","1.0,1.0","SE","12","DDR1",9.71228350788644,12.1046251911672,14.7160775470032,7.30726935394322,7.46728080757098,9.70805935099895,7.39445278485806,NA,"dog","colon","GSE125483"
