"","id","strand","symbol.x","chr.x","as_site1","as_site2","as_site3","as_site4","as_pvalue","fdr","IncLevel1","IncLevel2","as_type","chr.y","symbol.y","FPKM.SRR8474237","FPKM.SRR8474247","FPKM.SRR8474267","FPKM.SRR8474278","FPKM.SRR8474288","FPKM.SRR8474299","..files.spleen_mean_female","..files.spleen_mean_male","Remark","Organism","Tissue","GEO_accession"
"11","ENSCAFG00000000134","+","RBMS2","chr10",804080,804247,NA,NA,1.47917360435e-05,0.00146973895905,"1.0,1.0,0.98","0.853,0.959,0.925","SE","10","RBMS2",17.197145,16.676247,15.785165,23.227987,19.71167,15.962489,17.56466,18.622241,NA,"dog","spleen","GSE125483"
"12","ENSCAFG00000000141","-","NACA","chr10",941005,941091,948087,948250,8.5857911804e-05,0.00332794577153,"0.171,0.213,0.154","0.176,0.156,0.072","MXE","10","NACA",857.502991,689.183533,717.457214,773.211304,566.822266,515.188599,713.927490333333,659.194478666667,NA,"dog","spleen","GSE125483"
"13","ENSCAFG00000000150","-","POLI","chr1",21185577,21185742,NA,NA,0.000727442889322,0.0245062032047,"0.881,0.754,1.0","1.0,1.0,0.962","SE","1","POLI",18.636087,23.766312,13.023123,25.239588,16.293327,16.217209,15.984179,21.7410363333333,NA,"dog","spleen","GSE125483"
"14","ENSCAFG00000000150","-","POLI","chr1",21180151,21180388,21182786,21182939,0.00151396894618,0.0268279191717,"0.358,0.354,0.405","0.272,0.331,0.02","MXE","1","POLI",18.636087,23.766312,13.023123,25.239588,16.293327,16.217209,15.984179,21.7410363333333,NA,"dog","spleen","GSE125483"
"15","ENSCAFG00000000150","-","POLI","chr1",21165949,21166155,NA,NA,9.61699080781e-06,0.00109547628754,"0.985,1.0,1.0","0.968,0.983,0.882","SE","1","POLI",18.636087,23.766312,13.023123,25.239588,16.293327,16.217209,15.984179,21.7410363333333,NA,"dog","spleen","GSE125483"
"16","ENSCAFG00000000163","-","STAT6","chr10",1245746,1246052,NA,NA,0.000580319623262,0.0209480357226,"0.9,0.824,0.86","0.758,0.62,0.631","SE","10","STAT6",34.9001193200347,52.59949226366,54.0579681526453,52.1316284856895,46.8446476444059,49.1353182740677,45.267578372362,51.2888130078057,NA,"dog","spleen","GSE125483"
"17","ENSCAFG00000000167","+","DMXL1","chr11",8531960,8532023,NA,NA,5.22500119516e-05,0.00368582915634,"0.175,0.156,0.085","0.056,0.061,0.044","SE","11","DMXL1",2.68738817389001,4.59749075680831,6.80728346656776,8.03056481371198,4.70673158609728,2.77633758906432,4.73380107551835,5.13479771986154,NA,"dog","spleen","GSE125483"
"18","ENSCAFG00000000168","-","ME2","chr1",24003646,24003789,NA,NA,0.000438673148749,0.0171686583284,"1.0,0.99,0.976","1.0,0.979,0.943","SE","1","ME2",36.108734,32.201744,53.779259,57.780682,43.282585,25.791338,44.3901926666667,38.5912546666667,NA,"dog","spleen","GSE125483"
"19","ENSCAFG00000000189","-","SLC18B1","chr1",25802280,25802376,25803670,25803762,0.00265723885475,0.038759348783,"0.075,0.192,0.173","0.102,0.122,0.051","MXE","1","SLC18B1",9.67530682265113,9.40701407611071,10.1526846751639,17.996440381646,14.1509990841224,7.36633066605972,11.3263301939791,11.5899283746055,NA,"dog","spleen","GSE125483"
"20","ENSCAFG00000000248","+","CLK4","chr11",2973179,2973270,NA,NA,0.000826112819836,0.026812466522,"0.958,0.924,0.888","0.945,0.867,0.703","SE","11","CLK4",38.2956456306483,33.1354005170923,27.1747382640471,52.8441490467584,36.1352921375246,28.6525613280943,33.8685586774067,38.2107036306483,NA,"dog","spleen","GSE125483"
"21","ENSCAFG00000000296","+","ADGRG6","chr1",34101495,34101541,NA,NA,5.02356518717e-07,0.000129004272679,"0.132,0.044,0.168","0.302,0.19,0.426","SE","1","ADGRG6",2.32595837721574,3.49742283830523,7.66304183290099,7.16589876826632,4.74634081625594,1.44823430955469,4.91178034212422,4.03718530537541,NA,"dog","spleen","GSE125483"
"22","ENSCAFG00000000312","+","PHACTR2","chr1",35288550,35288709,35298971,35299506,0.00135667913759,0.0249221957575,"0.42,0.467,0.403","0.468,0.581,0.628","MXE","1","PHACTR2",11.8993137778731,13.312201457976,24.1639214729846,21.0842069652659,15.4320548108919,7.51416346312179,17.1650966872499,13.9701906287879,NA,"dog","spleen","GSE125483"
"23","ENSCAFG00000000323","+","USP15","chr10",5584978,5585065,NA,NA,0.00159662014885,0.0436017302776,"0.962,0.872,0.769","0.822,0.547,0.658","SE","10","USP15",10.0085035210124,11.316166504298,10.3094223734479,14.2841319228749,9.80703418075454,7.78118594985673,10.0416533584049,11.1271614590099,NA,"dog","spleen","GSE125483"
"24","ENSCAFG00000000372","+","UST","chr1",39872783,39872941,NA,NA,0.000321883459475,0.0140434251507,"0.945,1.0,0.934","1.0,0.886,0.812","SE","1","UST",9.07720066230367,8.65133231832461,10.2758748225131,15.3855825753927,7.01997958638743,13.7040207267016,8.79101835706807,12.580311873473,NA,"dog","spleen","GSE125483"
"25","ENSCAFG00000000407","+","DYRK2","chr10",9983573,9983996,NA,NA,8.77067587379e-06,0.00103532877502,"0.099,0.096,0.039","0.056,0.113,0.005","SE","10","DYRK2",8.35996331083381,10.1306133255814,8.21803634883721,12.3353881812252,8.09197878814521,10.1402712992059,8.22332614927208,10.8687576020042,NA,"dog","spleen","GSE125483"
"26","ENSCAFG00000000416","+","C12H6orf136","chr12",458783,458872,NA,NA,0.000761942399587,0.0253764092695,"0.972,0.929,1.0","1.0,1.0,1.0","SE","12","C12H6orf136",50.791466,40.225525,35.346451,45.206852,43.899494,39.633415,43.3458036666667,41.6885973333333,NA,"dog","spleen","GSE125483"
"27","ENSCAFG00000000418","+","MDM2","chr10",10947791,10947859,NA,NA,0.00139696306589,0.0396664342909,"1.0,0.994,0.994","0.993,0.979,0.966","SE","10","MDM2",27.7936432397401,27.337610005472,29.7972034822161,50.5994838830369,27.5531964162107,26.5113908218194,28.3813477127223,34.8161615701094,NA,"dog","spleen","GSE125483"
"28","ENSCAFG00000000423","-","RMND1","chr1",41785513,41785622,NA,NA,2.54148957169e-05,0.00215449985794,"1.0,0.914,1.0","0.853,0.801,0.839","SE","1","RMND1",9.72455,9.262858,6.517318,11.70627,7.069037,5.744459,7.77030166666667,8.904529,NA,"dog","spleen","GSE125483"
"29","ENSCAFG00000000423","-","RMND1","chr1",41779101,41779141,NA,NA,0.000157329316852,0.00819540169189,"1.0,1.0,0.959","1.0,1.0,0.831","SE","1","RMND1",9.72455,9.262858,6.517318,11.70627,7.069037,5.744459,7.77030166666667,8.904529,NA,"dog","spleen","GSE125483"
"30","ENSCAFG00000000454","+","VARS2","chr12",686424,686515,NA,NA,0.00138494545362,0.0394676153314,"1.0,1.0,1.0","1.0,0.947,0.971","SE","12","VARS2",46.311638,50.636692,32.912594,39.35984,43.951321,46.165119,41.0585176666667,45.387217,NA,"dog","spleen","GSE125483"
"31","ENSCAFG00000000481","-","CAPS2","chr10",15877117,15877291,NA,NA,0.00108036967836,0.0326733701797,"1.0,0.711,0.162","1.0,1.0,1.0","SE","10","CAPS2",1.11925469415229,0.472930098443416,1.02304278586454,0.381046781657552,0.954824760622634,0.221677798064788,1.03237408021315,0.358551559388585,NA,"dog","spleen","GSE125483"
"32","ENSCAFG00000000502","+",NA,"chr11",838381,839501,NA,NA,1.18056140028e-05,0.00126775407883,"0.987,1.0,1.0","0.925,1.0,0.495","SE","11","ENSCAFG00000000502",11.9854905320975,15.3687584654995,13.9536722039135,16.8262398214899,13.6038542155853,14.987307720563,13.1810056505321,15.7274353358508,NA,"dog","spleen","GSE125483"
"33","ENSCAFG00000000525","+","GLIPR1","chr10",15974188,15974271,NA,NA,0.0018296439672,0.0479953648206,"0.956,0.954,0.94","0.925,0.94,0.917","SE","10","GLIPR1",82.199303,55.163013,121.117859,124.074989,81.337776,45.914314,94.8849793333333,75.050772,NA,"dog","spleen","GSE125483"
"34","ENSCAFG00000000529","-","RGS22","chr13",1926650,1926809,NA,NA,0.000664528953074,0.0231920806056,"1.0,1.0,0.519","0.728,0.436,0.51","SE","13","RGS22",1.97686240152919,2.96445261005561,1.02543045551437,1.70733449768304,1.56534984847081,1.09320391404078,1.52254756850479,1.92166367392648,NA,"dog","spleen","GSE125483"
"35","ENSCAFG00000000529","-","RGS22","chr13",1923839,1923908,1926650,1926809,5.47786843414e-05,0.00245435227159,"1.0,1.0,0.603","0.785,0.603,0.258","MXE","13","RGS22",1.97686240152919,2.96445261005561,1.02543045551437,1.70733449768304,1.56534984847081,1.09320391404078,1.52254756850479,1.92166367392648,NA,"dog","spleen","GSE125483"
"36","ENSCAFG00000000535","+","MYCT1","chr1",42906262,42906771,NA,NA,1.00670954059e-05,0.00113789273362,"1.0,0.992,0.978","0.934,0.91,0.524","SE","1","MYCT1",3.60843914633797,4.68897658979504,5.78829283244948,6.63003020280923,1.64559694696861,0.812991851225455,3.68077630858535,4.04399954794324,NA,"dog","spleen","GSE125483"
"37","ENSCAFG00000000543","-","CEP120","chr11",13245994,13246109,13247476,13247633,0.00162390149092,0.0279007721159,"0.346,0.393,0.453","0.347,0.287,0.209","MXE","11","CEP120",18.3622507356865,18.3816148210117,16.5179080894942,24.1820384649805,18.1312500764313,16.8421158877154,17.6704696338707,19.8019230579025,NA,"dog","spleen","GSE125483"
"38","ENSCAFG00000000563","-","SNX31","chr13",2444866,2444980,NA,NA,0.00176674877324,0.0468068509833,"0.907,1.0,1.0","0.782,1.0,0.851","SE","13","SNX31",5.3907627658695,6.35808253498671,5.83190327694125,9.31367762356068,6.19212628373192,6.10078484558607,5.80493077551422,7.25751500137782,NA,"dog","spleen","GSE125483"
"39","ENSCAFG00000000566","+","ARSA","chr10",16693488,16693616,NA,NA,5.22401954806e-07,0.000131057416226,"1.0,1.0,0.984","0.989,1.0,0.963","SE","10","ARSA",54.82328,47.910313,48.567829,19.135984,44.004082,67.892204,49.1317303333333,44.9795003333333,NA,"dog","spleen","GSE125483"
"40","ENSCAFG00000000567","-","PABPC1","chr13",2571880,2572018,2572341,2572436,0.00280654046475,0.0405756091609,"0.401,0.392,0.419","0.45,0.437,0.511","MXE","13","PABPC1",490.196289086344,474.273008455947,451.764097843612,517.296468631718,499.047061073128,344.934388750661,480.335816001028,445.501288612775,NA,"dog","spleen","GSE125483"
"41","ENSCAFG00000000572","+","LMF2","chr10",16802912,16802941,16803075,16803293,0.00369156761656,0.0483235846434,"0.188,0.11,0.193","0.215,0.283,0.261","MXE","10","LMF2",20.647844,21.391325,16.717825,10.201553,17.923258,23.688585,18.4296423333333,18.4271543333333,NA,"dog","spleen","GSE125483"
"42","ENSCAFG00000000604","+","CSNK2B","chr12",1153395,1153585,NA,NA,8.38425874727e-07,0.000185946344565,"0.969,0.971,0.976","0.954,0.97,0.918","SE","12","CSNK2B",113.449235351351,78.4807688788143,77.8686435850043,64.42145692415,83.8156712746295,77.7498586608544,91.7111834036616,73.5506948212729,NA,"dog","spleen","GSE125483"
"43","ENSCAFG00000000607","-","ABHD16A","chr12",1180490,1180557,NA,NA,5.17962786257e-05,0.00367151587595,"0.957,0.955,0.969","0.841,0.969,0.887","SE","12","ABHD16A",61.891453,61.272675,55.776947,61.854871870801,54.932247,55.687775,57.533549,59.605107290267,NA,"dog","spleen","GSE125483"
"44","ENSCAFG00000000620","-","PPP6R2","chr10",16859818,16859971,NA,NA,4.77550558609e-06,0.000652277118851,"1.0,1.0,0.988","1.0,1.0,0.922","SE","10","PPP6R2",22.5381072750175,22.0268550233263,18.0138798262188,17.1658177595055,18.3649587926289,21.4930256391416,19.6389819646217,20.2285661406578,NA,"dog","spleen","GSE125483"
"45","ENSCAFG00000000626","+",NA,"chr12",1241605,1241683,NA,NA,0.000317325310441,0.0139343514947,"1.0,1.0,0.913","0.937,1.0,0.825","SE","12","ENSCAFG00000000626",4.65168465198238,6.33569012402575,3.39306791460522,4.49526149237547,3.79887902541511,6.08252983666554,3.94787719733424,5.63782715102225,NA,"dog","spleen","GSE125483"
"46","ENSCAFG00000000642","-","NEU1","chr12",1326033,1326135,NA,NA,0.00209148315327,0.0154096632327,"0.975,0.946,0.982","0.925,0.966,0.899","RI","12","NEU1",45.4458375312067,48.9094549445215,49.9160878918169,46.9059898016644,44.8041841622746,53.3993244882108,46.7220365284327,49.7382564114656,NA,"dog","spleen","GSE125483"
"47","ENSCAFG00000000671","-","SOD2","chr1",48948443,48948623,48950348,48950465,0.000273832296554,0.00824639227491,"0.538,0.569,0.522","0.544,0.533,0.999","MXE","1","SOD2",43.2203100112436,43.497781090971,35.7173602797274,48.2854119730835,37.9839311172061,36.9492724613288,38.973867136059,42.9108218417944,NA,"dog","spleen","GSE125483"
"48","ENSCAFG00000000688","+","HDAC10","chr10",16999052,16999317,NA,NA,5.31549213636e-05,0.00369622404494,"0.99,0.992,0.978","0.968,0.936,0.927","SE","10","HDAC10",21.2461951395593,20.0603002602309,11.7128260398741,9.30412143546695,15.7535722266527,18.6256536873033,16.237531135362,15.9966917943337,NA,"dog","spleen","GSE125483"
"49","ENSCAFG00000000693","-","ANGPT1","chr13",8141456,8141689,8154887,8155009,0.00338028414617,0.0460570297055,"0.58,0.586,0.462","0.507,0.58,0.988","MXE","13","ANGPT1",8.8917421387422,11.1272141080173,19.0227287618819,15.2616960691311,8.04531872635622,17.4457349908785,11.9865965423268,14.6115483893423,NA,"dog","spleen","GSE125483"
"50","ENSCAFG00000000693","-","ANGPT1","chr13",8141459,8141689,8154887,8155009,0.00283558643686,0.0406950959727,"0.572,0.582,0.46","0.498,0.573,0.991","MXE","13","ANGPT1",8.8917421387422,11.1272141080173,19.0227287618819,15.2616960691311,8.04531872635622,17.4457349908785,11.9865965423268,14.6115483893423,NA,"dog","spleen","GSE125483"
"51","ENSCAFG00000000694","-","DXO","chr12",1424879,1424974,1425113,1425249,0.000332614408908,0.00944864952315,"0.418,0.552,0.376","0.335,0.345,0.258","MXE","12","DXO",34.198578,27.693693,20.237152,16.55788,26.686623,25.790937,27.0407843333333,23.3475033333333,NA,"dog","spleen","GSE125483"
"52","ENSCAFG00000000701","+",NA,"chr12",1441465,1441622,NA,NA,5.22588639029e-11,7.2851344798e-08,"0.994,0.992,0.994","0.995,0.965,0.945","SE","12","ENSCAFG00000000701",126.075311380427,151.916228302957,106.095681701534,130.534747939933,104.577845553705,220.845087559132,112.249612878555,167.765354600674,NA,"dog","spleen","GSE125483"
"53","ENSCAFG00000000718","+","BRD1","chr10",17388758,17389791,NA,NA,0.000401253239151,0.0161836631123,"0.037,0.183,0.121","0.145,0.148,0.004","SE","10","BRD1",3.76487699518891,7.03931028937314,4.38967587250601,6.91735903212113,6.23538970963634,5.2423564412056,4.79664752577709,6.39967525423329,NA,"dog","spleen","GSE125483"
"54","ENSCAFG00000000718","+","BRD1","chr10",17387257,17387339,NA,NA,0.000137118658195,0.00162764925746,"1.0,0.883,0.826","0.668,0.794,0.012","RI","10","BRD1",3.76487699518891,7.03931028937314,4.38967587250601,6.91735903212113,6.23538970963634,5.2423564412056,4.79664752577709,6.39967525423329,NA,"dog","spleen","GSE125483"
"55","ENSCAFG00000000737","+","CDC42SE2","chr11",19683153,19683325,NA,NA,1.47741518464e-07,5.33967031239e-05,"0.935,0.897,0.917","1.0,0.978,1.0","SE","11","CDC42SE2",23.743231,29.438084,37.614819,41.125603,27.588478,21.734549,29.6488426666667,30.7660786666667,NA,"dog","spleen","GSE125483"
"56","ENSCAFG00000000751","-","TNXB","chr12",1470752,1471049,NA,NA,2.8750532843e-05,0.00234448983002,"1.0,1.0,1.0","1.0,1.0,0.701","SE","12","TNXB",10.32204,17.38382,8.944776,7.871553,5.262097,47.2429806869806,8.17630433333333,24.1661178956602,NA,"dog","spleen","GSE125483"
"57","ENSCAFG00000000751","-","TNXB","chr12",1464212,1464545,1468309,1468660,0.000369712821741,0.0102386299528,"0.112,0.181,0.123","0.191,0.17,0.01","MXE","12","TNXB",10.32204,17.38382,8.944776,7.871553,5.262097,47.2429806869806,8.17630433333333,24.1661178956602,NA,"dog","spleen","GSE125483"
"58","ENSCAFG00000000751","-","TNXB","chr12",1457085,1457409,NA,NA,0.00097199951524,0.0302073097756,"0.847,0.807,0.884","0.768,0.803,0.706","SE","12","TNXB",10.32204,17.38382,8.944776,7.871553,5.262097,47.2429806869806,8.17630433333333,24.1661178956602,NA,"dog","spleen","GSE125483"
"59","ENSCAFG00000000768","+","EGFL8","chr12",1560055,1560154,NA,NA,0.000606687466195,0.00518515554441,"0.047,0.15,0.053","0.047,0.056,0.0","RI","12","EGFL8",10.7033570472674,13.731773521418,5.26920349409158,8.00052319423929,8.18659360339734,7.13196108493353,8.05305138158544,9.62141926686361,NA,"dog","spleen","GSE125483"
"60","ENSCAFG00000000811","-","SFT2D1","chr1",54344843,54344926,NA,NA,0.000207769923701,0.0100703054906,"0.915,0.907,0.952","0.905,0.93,0.99","SE","1","SFT2D1",104.058746,93.410416,135.686966,175.214508,116.056229,64.392693,118.600647,111.005872333333,NA,"dog","spleen","GSE125483"
"61","ENSCAFG00000000811","-","SFT2D1","chr1",54343485,54343567,NA,NA,8.78010973284e-05,0.00538863128782,"1.0,1.0,1.0","0.887,1.0,0.43","SE","1","SFT2D1",104.058746,93.410416,135.686966,175.214508,116.056229,64.392693,118.600647,111.005872333333,NA,"dog","spleen","GSE125483"
"62","ENSCAFG00000000830","+","PDLIM4","chr11",20584157,20584339,20584546,20584710,7.10041450902e-05,0.00287723414406,"0.688,0.756,0.721","0.705,0.732,0.991","MXE","11","PDLIM4",28.565683,26.272846,11.7311129091688,17.7301518817481,21.061331,41.313705,20.4527089697229,28.4389009605827,NA,"dog","spleen","GSE125483"
"63","ENSCAFG00000000840","+","SLC22A4","chr11",20679827,20680042,NA,NA,0.000262519751026,0.0119894940894,"0.912,1.0,1.0","0.851,1.0,0.639","SE","11","SLC22A4",3.45387883608815,3.84800660192837,2.37925986776859,2.55451083333333,4.4184885,3.7730594476584,3.41720906795225,3.39185896097337,NA,"dog","spleen","GSE125483"
"64","ENSCAFG00000000840","+","SLC22A4","chr11",20626080,20626252,NA,NA,9.67072931649e-05,0.00573098382065,"1.0,0.745,1.0","0.672,1.0,0.447","SE","11","SLC22A4",3.45387883608815,3.84800660192837,2.37925986776859,2.55451083333333,4.4184885,3.7730594476584,3.41720906795225,3.39185896097337,NA,"dog","spleen","GSE125483"
"65","ENSCAFG00000000840","+","SLC22A4","chr11",20677805,20677906,NA,NA,0.00135566887623,0.0388597573741,"0.813,1.0,1.0","0.694,1.0,0.778","SE","11","SLC22A4",3.45387883608815,3.84800660192837,2.37925986776859,2.55451083333333,4.4184885,3.7730594476584,3.41720906795225,3.39185896097337,NA,"dog","spleen","GSE125483"
"66","ENSCAFG00000000860","+","AFDN","chr1",55510886,55511005,55512410,55512605,0.00165553394318,0.0282465868757,"0.417,0.387,0.398","0.453,0.492,0.541","MXE","1","AFDN",16.5538651647896,21.4097841271488,13.3323506816835,19.6068778535862,15.4280515324541,13.9746730589804,15.1047557929757,18.3304450132385,NA,"dog","spleen","GSE125483"
"67","ENSCAFG00000000884","-","WDR27","chr1",56708726,56708868,NA,NA,2.6159557508e-06,0.000432667257654,"0.143,0.613,1.0","1.0,1.0,1.0","SE","1","WDR27",1.47038094368341,1.45593900091324,2.16333684368341,2.41879259680365,1.78878595753425,1.29067679421613,1.80750124830036,1.72180279731101,NA,"dog","spleen","GSE125483"
"68","ENSCAFG00000000914","-","SHROOM1","chr11",21117408,21117981,NA,NA,8.25452911694e-05,0.00518565107078,"1.0,1.0,1.0","1.0,1.0,0.577","SE","11","SHROOM1",2.039346,2.945799,1.970716,1.349327,1.83505,3.144243,1.94837066666667,2.47978966666667,NA,"dog","spleen","GSE125483"
"69","ENSCAFG00000000917","+","SLC39A7","chr12",2668305,2668422,NA,NA,9.25011446617e-06,0.00106613031889,"1.0,1.0,1.0","0.954,0.971,0.952","SE","12","SLC39A7",49.5849766910499,47.6176478554217,42.3759677854274,54.7384520737235,43.7772527010901,46.5122540017212,45.2460657258558,49.6227846436221,NA,"dog","spleen","GSE125483"
"70","ENSCAFG00000000917","+","SLC39A7","chr12",2664307,2664722,2664812,2664981,0.00188664684376,0.0309443772499,"0.362,0.407,0.359","0.394,0.241,0.128","MXE","12","SLC39A7",49.5849766910499,47.6176478554217,42.3759677854274,54.7384520737235,43.7772527010901,46.5122540017212,45.2460657258558,49.6227846436221,NA,"dog","spleen","GSE125483"
"71","ENSCAFG00000000918","+","MCAT","chr10",22406069,22406157,NA,NA,4.87095334238e-05,0.00348648310753,"1.0,0.904,1.0","0.635,1.0,0.797","SE","10","MCAT",6.06324805219207,5.15458935490605,4.40851582463466,4.408893,4.729958,5.127333,5.06724062560891,4.89693845163535,NA,"dog","spleen","GSE125483"
"72","ENSCAFG00000000942","-","FAM184A","chr1",58918735,58918882,NA,NA,0.00115394889438,0.0343067019316,"1.0,1.0,1.0","1.0,1.0,0.598","SE","1","FAM184A",1.78192257570552,1.89947114184049,1.39228369398773,1.82242651779141,1.21148913104294,1.04163350601227,1.46189846691206,1.58784372188139,NA,"dog","spleen","GSE125483"
"73","ENSCAFG00000000963","-","RGL2","chr12",2738586,2738786,NA,NA,5.2939426177e-05,0.00369000405079,"1.0,1.0,1.0","1.0,1.0,0.777","SE","12","RGL2",60.1008953776301,74.1836634094684,52.0733091575305,52.7989532818383,65.1756759689923,61.1164575340532,59.1166268347176,62.6996914084533,NA,"dog","spleen","GSE125483"
"74","ENSCAFG00000000972","-","TAPBP","chr12",2750819,2751080,NA,NA,9.47046461658e-05,0.00564659575663,"1.0,0.993,1.0","0.994,1.0,0.956","SE","12","TAPBP",86.743141,79.3994631165714,95.967631784,81.892761,97.397049,103.225088496,93.369273928,88.1724375375238,NA,"dog","spleen","GSE125483"
"75","ENSCAFG00000000987","+","KIFC1","chr12",2818027,2821039,NA,NA,8.30807434293e-07,2.42067075174e-05,"0.21,0.341,0.214","0.186,0.29,0.002","RI","12","KIFC1",5.16734188409258,6.48537672116091,3.33436955033064,5.09512377516532,4.2761917595518,4.52297708780309,4.25930106465834,5.36782586137644,NA,"dog","spleen","GSE125483"
"76","ENSCAFG00000000998","+","PHF1","chr12",2825876,2826066,NA,NA,7.90689735908e-12,1.54316280125e-08,"1.0,1.0,1.0","0.941,1.0,0.896","SE","12","PHF1",42.6561609719298,33.5500604666667,36.4785756263158,27.4397828061404,34.9785637903509,33.8267585574561,38.0377667961988,31.6055339434211,NA,"dog","spleen","GSE125483"
"77","ENSCAFG00000001019","+","UBE2B","chr11",22533620,22533710,22538155,22538244,4.06679568765e-06,0.000415039093234,"0.166,0.143,0.213","0.207,0.184,0.002","MXE","11","UBE2B",96.540504,67.156342,52.953178,88.244072,65.896255,55.001179,71.7966456666667,70.1338643333333,NA,"dog","spleen","GSE125483"
"78","ENSCAFG00000001044","-","TATDN1","chr13",22590331,22590408,NA,NA,8.93745953134e-07,0.000193143060464,"1.0,0.938,0.977","0.961,0.791,0.881","SE","13","TATDN1",24.094149,22.992977,21.808138,28.549511,20.938435,16.390512,22.2802406666667,22.6443333333333,NA,"dog","spleen","GSE125483"
"79","ENSCAFG00000001058","+","TXNDC15","chr11",22949024,22949512,NA,NA,3.66162374087e-05,0.00283582103212,"0.937,1.0,1.0","0.945,0.968,0.871","SE","11","TXNDC15",37.913498,37.642853,47.885857,54.967007,38.144421,38.752697,41.314592,43.787519,NA,"dog","spleen","GSE125483"
"80","ENSCAFG00000001078","-","THEMIS","chr1",66472342,66472841,NA,NA,7.30037318248e-05,0.00475987583334,"0.053,0.059,0.068","0.037,0.015,0.0","SE","1","THEMIS",16.7999643285432,12.5681163942878,4.82395704814083,3.59115808927609,12.2576716930124,1.74602489563499,11.2938643565655,5.96843312639963,NA,"dog","spleen","GSE125483"
