"","id","strand","symbol.x","chr.x","as_site1","as_site2","as_site3","as_site4","as_pvalue","fdr","IncLevel1","IncLevel2","as_type","chr.y","symbol.y","FPKM.SRR8474318","FPKM.SRR8474335","FPKM.SRR8474344","FPKM.SRR8474354","FPKM.SRR8474364","FPKM.SRR8474367","..files.thyroid_mean_female","..files.thyroid_mean_male","Remark","Organism","Tissue","GEO_accession"
"25","ENSMUSG00000014778","-","Fhod1","chr8",105336236,105336260,NA,NA,1.09826722716e-07,8.29584294582e-05,"0.211,0.068,0.266","0.0,0.041,0.0","SE","8","Fhod1",6.05012257865409,10.4686183234033,10.2201436789541,7.24987370724389,8.83915722224604,9.26568258465495,7.92287153643376,9.4416611619517,NA,"mus","thyroid","GSE125483"
"26","ENSMUSG00000014786","+","Slc9a5","chr8",105356751,105356970,NA,NA,0.000949076296563,0.049195961227,"0.197,1.0,1.0","1.0,0.329,0.29","RI","8","Slc9a5",0.193424976335878,0.417752677290076,0.524266408587786,0.370350687977099,0.485871423664122,0.541095591603053,0.327176113867684,0.517077807951654,NA,"mus","thyroid","GSE125483"
"27","ENSMUSG00000014873","+","Surf2","chr2",26917531,26918864,NA,NA,1.30545877441e-05,0.00248689896525,"0.66,1.0,0.795","1.0,1.0,1.0","RI","2","Surf2",3.62171005545775,5.57964725029343,3.20489252376761,3.38427221860329,4.41606790346244,4.52944869688967,4.19520984145149,4.05013637470657,NA,"mus","thyroid","GSE125483"
"28","ENSMUSG00000015149","+","Sirt2","chr7",28787916,28787919,NA,NA,0.000454082800984,0.0271395559802,"1.0,1.0,0.936","1.0,1.0,1.0","A3SS","7","Sirt2",8.09232250963257,13.3062353000993,12.288218342999,11.5459682919563,12.1024458734856,12.4584902212512,10.9815087005627,12.2830514792453,NA,"mus","thyroid","GSE125483"
"29","ENSMUSG00000015363","+","Trabd","chr15",89085637,89085755,NA,NA,4.23886534214e-05,0.0068000324015,"0.01,0.009,0.024","0.045,0.042,0.044","RI","15","Trabd",7.56848450008943,8.25237423555714,8.31813293614738,5.83400022732964,8.94625557950277,8.45979058862457,7.21828632099207,8.57472636809157,NA,"mus","thyroid","GSE125483"
"30","ENSMUSG00000015452","+","Ager","chr17",34598379,34598406,NA,NA,0.000561913174308,0.029585468028,"0.984,0.986,0.992","0.979,0.977,0.983","A3SS","17","Ager",181.692646754787,288.91408501121,330.494966112097,262.527956591312,212.65157577347,269.180585269033,244.378229452436,270.775709051533,NA,"mus","thyroid","GSE125483"
"31","ENSMUSG00000016179","-","Camk1g","chr1",193361579,193361667,NA,NA,0.000292244513945,0.0325376147428,"0.0,0.0,0.0","0.13,0.138,0.069","SE","1","Camk1g",2.23666340811888,4.43882834976441,4.49315634976441,1.50990869807901,3.88882057013411,5.34207312649511,2.7284668186541,4.57468334879788,NA,"mus","thyroid","GSE125483"
"32","ENSMUSG00000016487","+","Ppfibp1","chr6",146996808,146996901,NA,NA,0.000164645813539,0.0219021697153,"0.224,0.0,0.104","0.0,0.037,0.0","SE","6","Ppfibp1",4.88843837611136,2.65081603170184,2.72836149312977,3.10320285999102,2.53273814575662,2.90716757754827,3.54748575593474,2.72275573881155,NA,"mus","thyroid","GSE125483"
"33","ENSMUSG00000018501","-","Ncor1","chr11",62354382,62354370,NA,NA,0.000401263236752,0.0251725803856,"1.0,0.952,1.0","1.0,0.877,0.852","A5SS","11","Ncor1",7.06703333151198,9.3321159176489,8.78457634618687,9.44592980743111,9.14848623823277,8.6416571335571,8.61502635219733,8.85823990599225,NA,"mus","thyroid","GSE125483"
"34","ENSMUSG00000018537","-","Pcgf2","chr11",97691779,97691775,NA,NA,0.00110599186144,0.047458394362,"0.98,0.927,0.948","0.983,1.0,0.965","A3SS","11","Pcgf2",6.21335008167896,13.1050936247873,16.1993011917187,12.5902221857629,11.6837898369257,14.9246740558707,10.6362219640764,14.2692550281717,NA,"mus","thyroid","GSE125483"
"35","ENSMUSG00000018570","-","2810408A11Rik","chr11",69899926,69899810,NA,NA,2.8936182601e-05,0.00358701493206,"1.0,0.071,0.322","1.0,1.0,0.727","A3SS","11","2810408A11Rik",0.661088050675676,0.583623571368243,0.61102416722973,0.758302003800676,0.597579822212838,0.880140683277027,0.667671208614865,0.696248224239865,NA,"mus","thyroid","GSE125483"
"36","ENSMUSG00000018669","-","Cdk5rap3","chr11",96912436,96912395,NA,NA,9.68027229504e-05,0.0087567219923,"0.039,0.052,0.028","0.008,0.008,0.016","A3SS","11","Cdk5rap3",12.3003339021511,13.2784940886674,13.3834180957503,9.70145655535152,10.3361098108604,12.3377048386674,11.7600948487233,12.0190775817594,NA,"mus","thyroid","GSE125483"
"37","ENSMUSG00000019261","+","Map1s","chr8",70911443,70911526,NA,NA,0.000243728084367,0.0287938448452,"0.0,0.021,0.0","0.071,0.057,0.093","SE","8","Map1s",3.70637948574658,6.26201960655532,5.76992150709532,4.99983097438151,5.128410634811,6.37441214730629,4.9894100222278,5.75758142973754,NA,"mus","thyroid","GSE125483"
"38","ENSMUSG00000019861","-","Gopc","chr10",52354747,52358772,NA,NA,2.82839729415e-08,1.23156499322e-05,"0.052,0.032,0.065","0.03,0.013,0.015","RI","10","Gopc",4.57006435070268,3.92897107601752,4.23232992562511,1.93244586156233,1.74930156315021,3.28424029558314,3.47716042942751,3.08862392811949,NA,"mus","thyroid","GSE125483"
"39","ENSMUSG00000020061","-","Mybpc1","chr10",88537465,88537519,NA,NA,0,0,"0.119,0.052,0.06","0.022,0.013,0.03","SE","10","Mybpc1",54.3456974356086,15.0012851303291,46.6482897539209,73.196762929313,109.938795227082,51.0766000949856,47.5145818317502,69.2212283586628,NA,"mus","thyroid","GSE125483"
"40","ENSMUSG00000020280","+","Pus10","chr11",23667277,23667287,NA,NA,0.000674449034466,0.0335222877603,"1.0,1.0,0.84","1.0,0.397,0.568","A3SS","11","Pus10",5.20158213132948,2.74388608855491,3.20128291052023,2.3362596316763,4.43127708046243,2.01607305387283,3.4272426171869,3.21621101495183,NA,"mus","thyroid","GSE125483"
"41","ENSMUSG00000020460","-","Rps27a","chr11",29547205,29547260,NA,NA,3.30735439036e-13,1.35508924082e-09,"0.874,1.0,0.992","1.0,1.0,1.0","SE","11","Rps27a",76.920973596856,34.2268364274848,69.8663557048682,23.2951453833671,49.723602148073,26.9436811090264,44.814318469236,48.8445463206559,NA,"mus","thyroid","GSE125483"
"42","ENSMUSG00000020460","-","Rps27a","chr11",29547260,29546788,NA,NA,1.06596037108e-07,3.567769362e-05,"0.651,1.0,0.971","1.0,1.0,1.0","A3SS","11","Rps27a",76.920973596856,34.2268364274848,69.8663557048682,23.2951453833671,49.723602148073,26.9436811090264,44.814318469236,48.8445463206559,NA,"mus","thyroid","GSE125483"
"43","ENSMUSG00000020472","-","Zkscan17","chr11",59503810,59503763,NA,NA,1.28343003003e-07,3.90512755501e-05,"1.0,0.959,1.0","0.857,0.743,0.828","A3SS","11","Zkscan17",4.6389018115023,7.65391685589329,7.66307483621255,7.22350365558714,7.08896002121146,8.6534790303958,6.50544077432758,7.8018379626066,NA,"mus","thyroid","GSE125483"
"44","ENSMUSG00000020516","-","Rps6kb1","chr11",86511666,86511824,NA,NA,0.00055108546794,0.035738478857,"0.0,0.01,0.005","0.028,0.027,0.07","RI","11","Rps6kb1",6.6868935950566,4.86438674462925,5.66353238057288,5.78513794190344,5.62622642896743,4.67620822164472,5.7788060938631,5.32198901039501,NA,"mus","thyroid","GSE125483"
"45","ENSMUSG00000020865","-","Abcc3","chr11",94359943,94359940,NA,NA,3.50768365843e-05,0.00404835076026,"1.0,0.742,0.896","0.324,0.528,0.0","A3SS","11","Abcc3",1.02092531818182,1.07253238416988,1.3048737004212,1.22170229080379,1.0248361976132,1.62776987451737,1.10505333105183,1.31915992418392,NA,"mus","thyroid","GSE125483"
"46","ENSMUSG00000021098","-","4930447C04Rik","chr12",72902412,72902489,NA,NA,1.35294503045e-07,8.94078448187e-05,"1.0,1.0,1.0","0.0,0.193,1.0","SE","12","4930447C04Rik",0.0926469463300452,0.0652735440561779,0.064556575990637,0.118731855040963,0.0565074945661261,0.103599691188764,0.0922174484757287,0.0748879205818424,NA,"mus","thyroid","GSE125483"
"47","ENSMUSG00000021453","+","Gadd45g","chr13",51847453,51847555,NA,NA,0.000729649274838,0.043607274308,"0.145,0.341,0.092","0.095,0.038,0.091","RI","13","Gadd45g",14.926069597613,9.79081671099744,9.85762763000852,10.7892860826939,10.2127371500426,12.5735133802217,11.8353907971014,10.8812927200909,NA,"mus","thyroid","GSE125483"
"48","ENSMUSG00000021493","-","Pdlim7","chr13",55508207,55508326,NA,NA,0.000100272227094,0.0156388223214,"1.0,1.0,0.99","0.879,0.905,0.98","SE","13","Pdlim7",5.47125871066199,4.73923771086822,6.15482742627346,8.63828208599711,7.61707175335121,6.05058684780367,6.28292616917577,6.60749534247611,NA,"mus","thyroid","GSE125483"
"49","ENSMUSG00000021493","-","Pdlim7","chr13",55507863,55507880,NA,NA,0.000567122342493,0.0488154130601,"1.0,1.0,0.993","0.895,0.955,0.973","SE","13","Pdlim7",5.47125871066199,4.73923771086822,6.15482742627346,8.63828208599711,7.61707175335121,6.05058684780367,6.28292616917577,6.60749534247611,NA,"mus","thyroid","GSE125483"
"50","ENSMUSG00000021519","-","Mterf3","chr13",66928322,66928287,NA,NA,0.000283181526343,0.0201661397589,"1.0,1.0,0.948","0.973,0.816,1.0","A3SS","13","Mterf3",7.08745513839559,5.2011131971831,4.90148359481527,5.28420805939988,4.47589353868136,4.90185463951827,5.85759213165952,4.7597439243383,NA,"mus","thyroid","GSE125483"
"51","ENSMUSG00000021546","-","Hnrnpk","chr13",58393868,58394075,NA,NA,6.92678226666e-07,0.000211128323488,"0.027,0.024,0.03","0.062,0.028,0.085","RI","13","Hnrnpk",49.6214643872564,38.3565557155892,40.6688335819672,31.5894678581813,32.9858088176616,33.9979538521497,39.8558293203423,35.8841987505928,NA,"mus","thyroid","GSE125483"
"52","ENSMUSG00000021557","-","Agtpbp1","chr13",59473817,59474531,NA,NA,0.000922621165946,0.049195961227,"0.183,0.089,0.14","0.149,0.052,0.075","RI","13","Agtpbp1",2.14093635043988,2.02215476218842,2.37586860900843,2.52113738026943,2.5856113118585,1.93786639658174,2.22807616429924,2.29978210581622,NA,"mus","thyroid","GSE125483"
"53","ENSMUSG00000021557","-","Agtpbp1","chr13",59517652,59517690,NA,NA,0.000153242306068,0.0207902111398,"1.0,1.0,0.951","0.948,0.896,0.741","SE","13","Agtpbp1",2.14093635043988,2.02215476218842,2.37586860900843,2.52113738026943,2.5856113118585,1.93786639658174,2.22807616429924,2.29978210581622,NA,"mus","thyroid","GSE125483"
"54","ENSMUSG00000021661","+","Ankra2","chr13",98266150,98266532,NA,NA,0.000378844553284,0.0395462983126,"1.0,0.973,0.984","0.931,0.931,0.873","SE","13","Ankra2",4.57636271388408,4.26478709926471,4.78714194182526,4.16370440116782,4.46261503676471,4.00674016111592,4.3349514047722,4.41883237990196,NA,"mus","thyroid","GSE125483"
"55","ENSMUSG00000021706","-","Zfyve16","chr13",92508346,92508291,NA,NA,0.000922540026338,0.0422978283309,"0.865,1.0,0.815","1.0,1.0,0.955","A3SS","13","Zfyve16",4.88727798489127,3.98152406452979,4.87344044789608,3.54673904193731,4.22744849166902,4.14689976080203,4.13851369711946,4.41592956678904,NA,"mus","thyroid","GSE125483"
"56","ENSMUSG00000021720","-","Rnf180","chr13",105252350,105252347,NA,NA,0.000509552541398,0.0290200680022,"1.0,1.0,0.0","0.291,0.161,0.418","A3SS","13","Rnf180",0.565370361713569,0.456004857680588,1.30813249991038,0.592600474816275,0.933307334647786,1.02975787076537,0.537991898070144,1.09039923510785,NA,"mus","thyroid","GSE125483"
"57","ENSMUSG00000021798","-","Ldb3","chr14",34569712,34569727,NA,NA,1.64996794005e-10,3.7556936911e-07,"0.545,0.0,0.671","0.0,0.0,0.0","SE","14","Ldb3",18.7697611908272,8.31299246060606,17.6908493493858,41.0958359980344,27.5129573295659,19.3855652501229,22.7261965498225,21.5297906430249,NA,"mus","thyroid","GSE125483"
"58","ENSMUSG00000021814","-","Anxa7","chr14",20467457,20467523,NA,NA,0.000416412819745,0.0413856384765,"0.057,0.022,0.063","0.042,0.116,0.061","SE","14","Anxa7",29.7076837536304,20.6656932123185,21.6468270534135,26.6532376040728,22.2581717265899,26.8550626027374,25.6755381900072,23.5866871275803,NA,"mus","thyroid","GSE125483"
"59","ENSMUSG00000021819","+","Zswim8","chr14",20718918,20718996,NA,NA,0.000420797809542,0.0291498118974,"0.011,0.042,0.02","0.101,0.039,0.052","RI","14","Zswim8",6.31521100186263,13.55301349383,14.4670774059371,11.0911836077998,11.8559592131548,15.1490007577416,10.3198027011641,13.8240124589445,NA,"mus","thyroid","GSE125483"
"60","ENSMUSG00000021843","+","Ktn1","chr14",47734264,47734270,NA,NA,5.49671419492e-13,1.03448161148e-09,"0.276,0.339,0.404","0.087,0.0,0.044","A5SS","14","Ktn1",7.01367854081475,5.70891088994734,5.70551656389405,6.81562529453222,6.57737553818154,6.40710674984511,6.51273824176477,6.2299996173069,NA,"mus","thyroid","GSE125483"
"61","ENSMUSG00000021870","-","Slmap","chr14",26459409,26459460,NA,NA,0.000578786804576,0.0494042769939,"0.744,0.791,0.777","1.0,0.879,1.0","SE","14","Slmap",5.63608363670226,6.45502150471815,10.1236091931959,7.98683598199652,7.26910135795878,7.90943162825925,6.69264704113898,8.43404739313798,NA,"mus","thyroid","GSE125483"
"62","ENSMUSG00000021990","+","Spata13","chr14",60636367,60636646,NA,NA,1.33447997985e-07,8.94078448187e-05,"1.0,1.0,1.0","0.662,0.768,0.63","SE","14","Spata13",6.71571397440123,9.38696839518787,8.18806122874094,6.40478219468249,7.04668109195781,7.87713653175126,7.50248818809053,7.70395961748334,NA,"mus","thyroid","GSE125483"
"63","ENSMUSG00000022124","-","Fbxl3","chr14",103095192,103095541,NA,NA,0.000221941547161,0.0272257157793,"1.0,1.0,1.0","0.97,0.97,0.916","SE","14","Fbxl3",8.92898716598079,9.28411595590829,12.3851382735646,8.01333467274153,9.46247547834607,9.44814743699784,8.74214593154353,10.4319203963028,NA,"mus","thyroid","GSE125483"
"64","ENSMUSG00000022211","+","Carmil3","chr14",55501893,55502224,NA,NA,0.000152538302357,0.014997959535,"1.0,0.15,1.0","0.209,0.22,0.261","RI","14","Carmil3",0.252304892674617,0.446749767384234,0.552774922719529,0.452058560941614,0.434558082855815,0.416699073253833,0.383704407000155,0.468010692943059,NA,"mus","thyroid","GSE125483"
"65","ENSMUSG00000022216","+","Psme1","chr14",55579833,55579930,NA,NA,0.000689204983044,0.0428713630269,"0.011,0.04,0.02","0.053,0.041,0.028","RI","14","Psme1",23.0348353734722,27.0626175015844,28.8786569655953,20.71982198823,25.1556351991852,23.477069298325,23.6057582877622,25.8371204877018,NA,"mus","thyroid","GSE125483"
"66","ENSMUSG00000022353","-","Mtss1","chr15",58948322,58948442,NA,NA,0.000123431542399,0.0182858367275,"0.11,0.271,0.129","1.0,1.0,0.498","SE","15","Mtss1",4.10064208126928,5.55975541022477,5.1619509465844,4.72040183516968,4.83933802406346,5.21549867880123,4.79359977555458,5.07226254981636,NA,"mus","thyroid","GSE125483"
"67","ENSMUSG00000022425","-","Enpp2","chr15",54877775,54877931,NA,NA,7.82840244529e-06,0.00246727157683,"0.297,0.03,0.175","0.085,0.037,0.009","SE","15","Enpp2",10.9721018035992,5.42087586606679,5.1263521858453,8.05042428084444,5.32882506160235,4.39860631700986,8.14780065017014,4.9512611881525,NA,"mus","thyroid","GSE125483"
"68","ENSMUSG00000022469","-","Rapgef3","chr15",97750187,97750154,NA,NA,0.000511557816591,0.0290200680022,"0.79,0.802,0.876","0.989,0.902,0.926","A3SS","15","Rapgef3",6.13773994760101,10.1316244619634,12.1445745208333,6.96083298263889,10.2471761362058,11.5014048132891,7.74339913073443,11.2977184901094,NA,"mus","thyroid","GSE125483"
"69","ENSMUSG00000022558","+","Mroh1","chr15",76417295,76417418,NA,NA,0.000240232338698,0.0286127888986,"0.014,0.0,0.004","0.034,0.041,0.037","SE","15","Mroh1",3.82638423542628,6.95783226159825,5.95713405477289,4.85165573736944,5.7888395973403,6.92712450704396,5.21195741146466,6.22436605305238,NA,"mus","thyroid","GSE125483"
"70","ENSMUSG00000022677","-","Fopnl","chr16",14313815,14314013,NA,NA,0.000138896571444,0.0194892819356,"0.966,0.944,0.925","1.0,0.99,1.0","SE","16","Fopnl",5.02901780692387,3.25958311935928,3.26601242473303,4.30306751705133,3.17674958542887,2.93708602600758,4.19722281444483,3.12661601205649,NA,"mus","thyroid","GSE125483"
"71","ENSMUSG00000022940","-","Pigp","chr16",94370894,94370740,NA,NA,2.44715179838e-05,0.00354272283427,"0.136,1.0,0.574","1.0,0.931,1.0","A5SS","16","Pigp",16.9206719194766,15.8031584750881,16.8065152093608,14.0471727825868,14.5288529063915,13.0531263125315,15.5903343923838,14.7961648094279,NA,"mus","thyroid","GSE125483"
"72","ENSMUSG00000022987","-","Zfp641","chr15",98291300,98291258,NA,NA,5.90674045803e-05,0.00595965969862,"1.0,1.0,0.91","0.815,0.653,0.874","A3SS","15","Zfp641",4.337683,4.916917,6.0280382369403,5.18259687966418,6.28164614085821,5.58936464458955,4.81239895988806,5.96634967412935,NA,"mus","thyroid","GSE125483"
"73","ENSMUSG00000023039","+","Krt7","chr15",101414180,101416220,NA,NA,7.79687425734e-12,4.75297454727e-09,"0.01,0.026,0.041","0.057,0.033,0.047","RI","15","Krt7",28.2904789605618,27.6115022339339,31.2127591414385,20.5338602688325,26.3357094437509,32.4171917869201,25.4786138211094,29.9885534573698,NA,"mus","thyroid","GSE125483"
"74","ENSMUSG00000023044","-","Csad","chr15",102188886,102188962,NA,NA,5.07220964197e-05,0.00980276289862,"0.979,0.89,0.802","0.924,0.988,1.0","SE","15","Csad",12.0120043996346,10.0950972811276,14.2031103680501,11.2094383346385,8.7924383174106,11.8990190493344,11.1055133384669,11.631522578265,NA,"mus","thyroid","GSE125483"
"75","ENSMUSG00000023904","+","Hcfc1r1","chr17",23674534,23674546,NA,NA,2.69073305759e-06,0.00060039223625,"1.0,1.0,1.0","0.991,0.916,1.0","A3SS","17","Hcfc1r1",36.0206626931107,52.9226477724426,52.4411451941545,79.2772503590814,43.9575181189979,48.2242745866388,56.0735202748782,48.2076459665971,NA,"mus","thyroid","GSE125483"
"76","ENSMUSG00000023908","+","Pkmyt1","chr17",23732824,23733822,NA,NA,0.000133106044432,0.0139613052767,"0.693,0.399,0.642","0.295,0.166,0.202","RI","17","Pkmyt1",1.26406133955531,1.89321684765303,1.81582351056821,1.57958360636838,2.06253774444139,2.20327654652759,1.57895393119224,2.0272126005124,NA,"mus","thyroid","GSE125483"
